"text";"gold";"observed";"reason_category"
"That one bitch should care she got suspended...lol it's gonna haunt her later in life";"3. animosity";"2. derogation";"The comment explicitly derogates and insults a specific woman by using a demeaning term and mocking her situation."
"I think we should be peaceful & use our 1A to speak or congregate etc. but if/when some antifa cunt starts beating the shit out of some old lady we should start curb stomping those fucks.";"3. animosity";"1. threats, plans to harm and incitement";"The comment contains a threat of physical harm, specifically suggesting violent action (""curb stomping"") against individuals."
"I would pay to see her Ass Cracker. #nsfw";"2. derogation";"2. derogation";"The comment objectifies a woman's body in a demeaning and explicit manner."
"If only my ex was a nice woman like her and just put a bullet in my head instead of torturing me on a daily basis... Most women prefer the death by 1000000 cuts method.";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a suggestion of serious harm and violence, implying that women prefer to inflict prolonged suffering."
"I'm the guy that fucks with Aerospace Engineer brainwashed monkie pieces of shit inbred looking cowardly fucks like you for the last say 7 years straight. It's my past time, bitch. What do you have school boy";"3. animosity";"2. derogation";"The comment contains explicit derogation and demeaning language directed at a woman, including insults and negative descriptions."
"Ewww gross! You know she starved children right? Yup she imposed a school lunch program that no kid or reasonable.human would eat. I'm still convinced shes a man.. she could break Obama in half. Obama is half the man she is. Lol";"3. animosity";"2. derogation";"The comment contains derogatory language, including demeaning and insulting remarks about a woman's appearance and strength, as well as dehumanizing comparisons."
"Feminine traits in men can be exploited for gain, comfort, being in control; what kind of sexual benefit (the kind that men are generally interested in) can be gained from an androgynous woman?";"2. derogation";"3. animosity";"The comment expresses implicit sexism by suggesting that feminine traits in men can be exploited for gain and comfort, while questioning the sexual benefit of androg"
"Average man works 8 hours more thats a full day extra than the average woman and even after decades and study after study they refuse to accept thats the main reason. Because that does not fit their narative.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of gender discrimination and justifies perceived gender inequality by suggesting that women work less than men, which is a prejudiced"
"Oh my fucking God. Look at her fucking feet. Disgusting. Black women are the worst.";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women, particularly black women, by making demeaning and negative statements about their appearance and generalizing them as"
"I don't care if that bitch blew Hitler himself and swallowed, she's still a piece of shit that deserves to hang for her endless crimes against humanity... after a trial of course..";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment contains explicit threats and incitement to harm, including a suggestion that the woman deserves to be hanged."
"#Politics #GabFam #MAGA #Australia As #MSM develops a case of total silence while covering womens virtue signaling BS. Must've been the vagina hats rather than the FGM and child RAPES [URL]";"2. derogation";"2. derogation";"The comment derogates women by dismissing their concerns as ""virtue signaling BS"" and using crude language like ""vagina hats"" to"
"Don't think that using the word ""feminine"" wasn't strategic, Mo. It was. And I couldn't agree more with everything else you wrote. They attempt to bring the rest of us down to their level. Not gonna happen ... Lol, men are a gift from God.";"3. animosity";"3. animosity";"The comment expresses implicit sexism and stereotypes by suggesting that women attempt to bring men down and that men are superior, framed as a compliment."
"Love how women are so ready to call any male they find unattractive ""creepy"", but an older woman fucking (and in cases like this, rape) a young dude is FAR more frequent than the other way around. If anyone is creepy, it's women.";"2. derogation";"4. prejudiced discussions";"The comment denies the existence of discrimination against men and justifies sexist treatment by suggesting that women are more frequently the perpetrators of inappropriate behavior, thus"
"You know this bitch is gonna keep anything she collects.";"2. derogation";"2. derogation";"The comment explicitly derogates and insults a woman by using a demeaning term and making a negative assumption about her behavior."
"That's female fantasy. I have a lot of experience in that field and nurses marry doctors all the time. Something statistics also support.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that women, particularly nurses, have a fantasy of marrying doctors, which is a stereotype."
"Oh no... man that’s a tough one. If you just want kids maybe get a surrogate and raise your child/children on your own. Whatever you do, don’t knock up some psycho bitch so they can de ball you and drain your bank account.";"2. derogation";"2. derogation";"The comment contains derogatory language, such as ""psycho bitch,"" and negative stereotypes about women, suggesting they will ""de ball you and"
"I'd just love to be able to walk up to her and punch her in the face...just once.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses an intent to inflict physical harm on a woman."
"Ryanae hit the nail on the head. Confidence > Looks Don't let it get to you, girls can be major bitches.";"2. derogation";"3. animosity";"The comment uses a derogatory term ""bitches"" to describe women, which expresses implicit sexism and negative stereotypes."
"What she did is much worse than weinstien because she groomed him since he was 7. weinstien met adult women who wanted a leg up. Big difference.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies the actions of a male perpetrator by comparing them to a woman's actions, suggesting that the women's actions are worse and down"
"[URL] Excellent video, neatly showing how women steal from men. Marriage, meritricious law and diamond rings are all jew inventions that transfer wealth from men to women.";"2. derogation";"4. prejudiced discussions";"The comment justifies sexist treatment by claiming that women steal from men through marriage and other means, and it promotes the ideology of male victimhood"
"How long will it take a woman to mentally move on from the situation? Cause they're fond of bringing up shit from before my ancestors";"3. animosity";"2. derogation";"The comment contains derogatory language that stereotypes women as being overly emotional and holding grudges for an excessively long time."
"Soy boys PMS worse than women cause it's 24/7. They get their delicate feelings hurt because of lack of testosterone...It's a problem!";"3. animosity";"2. derogation";"The comment explicitly derogates and insults both men and women by using negative stereotypes and demeaning language."
"The ultimate stupid nigger, his cockroach mother I'm sure is on benifits too... Useless vermin.";"3. animosity";"2. derogation";"The comment explicitly derogates and dehumanizes by using racial slurs and negative descriptions, which includes strong negative emotive statements and dehuman"
"you are no different than a pussy. fuck off!";"3. animosity";"2. derogation";"The comment explicitly derogates and insults by using demeaning language and a derogatory term."
"Chads had their fun and fucking destroyed her in bed, while beta billy waits his turn and she will deny him sex after marriage and maybe even cheat on him 😂 😂";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by describing them in a demeaning and objectifying manner, and it includes strong negative emot"
"Surely not. I romance my women like a true southern gentleman, even if they're a mestizo cum bucket. Just because you were raised like chattel, doesn't mean I have to treat you like such. Come sit on poppy's lap, mamasita.";"2. derogation";"2. derogation";"The comment contains explicit derogation and dehumanization of women, using objectifying and insulting language."
"Unlike women, this car doesn't drive you crazy.";"2. derogation";"3. animosity";"The comment expresses implicit sexism by suggesting that women are inherently frustrating, using a comparison to a car to make the point."
"Because modern thots aren't worth fighting for. If she reveals her AWALT tendencies and disrespects you, just dump her ass and walk away";"3. animosity";"2. derogation";"The comment explicitly derogates women by using demeaning language (""thots"") and negative stereotypes (""AWALT tendencies""), and it includes strong negative"
"Sluts are for fucking, good girls are for marrying. Find any ex PUA who settled down, they're always with good girls who weren't sluts.";"2. derogation";"2. derogation";"The comment explicitly derogates and objectifies women by using demeaning language and negative stereotypes, categorizing them as either ""sluts"" or"
"This is coming from the bitch who once flashed a teacher to distract him so her boyfriend could sneak out of detention. God the bitch used to be so much cooler.";"3. animosity";"2. derogation";"The comment explicitly derogates and demeans the woman by using derogatory language and negative descriptions."
"do a stone ole stunna on may the hag she has got to go uk is so cuck we need a duterte shoot the fukas";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a threat and incitement to harm, suggesting violent action against a woman and advocating for extreme measures."
"Is she a porn star? If she is I want to see that ass.";"2. derogation";"2. derogation";"The comment objectifies a woman's body and uses derogatory language."
"The vast majority of my friends have always been women This is a big NO-NO, guys who had a majority of women as their friend rarely get to bang any of them";"2. derogation";"3. animosity";"The comment expresses a stereotype about men and women in friendships, implying that men should not have female friends if they want to have sexual relationships with"
"But don't you miss having a first lady that could beat most men in a bar brawl...or at least B.O...Michael...I mean Michelle...or whatever hi..her name was...was so ma...womanly... that's the one";"3. animosity";"2. derogation";"The comment derogates Michelle Obama by mocking her gender and physical appearance, using demeaning language and insinuating she is not truly a woman."
"Don’t misunderstand me, I love my mother to death. At the same time, I would also like to give her a few slaps due to her meddling in my affairs.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict physical harm on a woman."
"I just bought a smart car. It doesn't turn on when the wife is in the driving seat.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that women are not capable of driving or using technology properly."
"I couldn't care that women don't want trans in women's sports, men aren't allowed any spaces to themselves, now its women's turn. I love the trans community.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies perceived mistreatment of women by suggesting that it is now their turn to lose exclusive spaces, denying the legitimacy of their concerns"
"This is why you make a move within the first 15-20 minutes of arriving. If you wait hours and hours before you try to kiss her she's gonna wonder if something's wrong with her or if you're just a pussy.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that a man must make a move quickly to avoid being perceived negatively, which reinforces gender stereotypes and pressures."
"Hilarity. I had sex with a black woman once. It was a bizarre sensation. It occurred to me perhaps this is what prison sex is like: You close your eyes and try to imagine you are having sex with a woman.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by comparing sex with a black woman to prison sex, implying that it is an undesirable and"
"Passes IHRA anti-semitism laws to shut the British people's mouths and puts pedoes on the fast track for adoption. She can not be anymore than 2 steps away from her boss, SATAN. What a cunt";"2. derogation";"2. derogation";"The comment contains explicit derogation and dehumanization, including strong negative emotive statements and insults directed at a specific woman."
"If I learned one thing, is never be faithful for a girlfriend, if you can fuck some bitch, DO IT, don't hesitate, one day will come, you'll regret that you haven't. Good advice. Wish I'd had it back when i dated.";"1. threats, plans to harm and incitement";"2. derogation";"The comment explicitly derogates and dehumanizes women by referring to them as ""bitch"" and promoting infidelity, which demeans and"
"Hate this smug cunt. Squeezing the life from her with my hands clasped about her neck would be the most worthwhile thing I ever did in my life. Bitch. 😬😠 (I mean Spectre not Empress 😉)";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains explicit threats of physical harm and violence against a woman."
"Your wife could leave her phone at the office Women can’t be parted with Instagram for two minutes while taking shit mate, what are you talking about even?";"3. animosity";"2. derogation";"The comment derogates women by stereotyping them as being overly attached to social media, specifically Instagram, and uses a demeaning tone."
"Ah, I think they mean, that (((Kikes))) subverted and turned our daughters into WHORES and our sons into SOYGOYBOYZ.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by calling them ""whores"" and uses strong negative emotive language."
"This woman is just stupid. [URL]";"2. derogation";"2. derogation";"The comment explicitly demeans and insults a woman by calling her ""stupid."""
"that shit wouldn't happen if women weren't attracted to aggressive dominant men. if women stopped sexually selecting for that type of man, that type of violence would die off in a generation.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies gender inequality by blaming women for the violence they experience, suggesting that their sexual preferences are the cause of such violence."
"Yeah mate , in my 3+ years working in IT i have learned almost all the older ladies that work in this line have an agenda of their own and they seem to target/bully the weakest person in this office just to feel better about themself";"2. derogation";"4. prejudiced discussions";"The comment makes a generalization about older women in IT, suggesting they have an agenda and bully others, which justifies negative treatment and perpet"
"Post pic so we have context, try older women if your virginity is not super sacred to you, was at the bar yesterday and the amount of 40 year old cougars hunting for young meat was borderline pathetic 😂😂";"2. derogation";"2. derogation";"The comment objectifies and demeans older women by referring to them as ""cougars"" and describing their behavior as ""borderline pathetic."""
"All females must take collective responsibility for false rape accusations!";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies the mistreatment of women by holding all women accountable for the actions of a few, which falls under prejudiced discussions."
"Depth of a woman's personality: dogs, Netflix, alcohol, selfies, makeup";"3. animosity";"2. derogation";"The comment explicitly derogates and stereotypes women by reducing their personalities to superficial interests and activities."
"See, you get it. Happy wife = happy life unless she is a gator as referenced in an earlier post. When she least expects it, give her a little peck on the cheek and then jump outa the way.";"2. derogation";"3. animosity";"The comment contains implicit sexism and stereotypes, suggesting that women can be unpredictable or dangerous (""gator"") and framing it as a joke."
"wasserman schultz is proof that an ugly soul can create an ugly physicality...what a disgusting creature she is old whores don't die, they just become #DNC chairwomen";"3. animosity";"2. derogation";"The comment explicitly derogates and dehumanizes a specific woman by calling her a ""disgusting creature"" and using derogatory terms like"
"In my mind I wanted her hoe hands off me, she was being rude. Couple weeks before that she tried to have a 3 way with me, unrelated but she sucks. I definitely should have, bottom line. You’re right.";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a suggestion of physical harm (""I definitely should have"") and derogatory language (""hoe hands,"" ""she sucks"") directed at"
"You know the truth already You don’t need some dumb virtue signaling bitch to confirm to you looks matter and that you are ugly for millionth time";"3. animosity";"2. derogation";"The comment explicitly derogates and insults women by using demeaning language and negative descriptions."
"I love how the girl writing this wanted to fuck other people, but the girl her boyfriend is fucking is the slut. Goddamn, this is too funny.";"3. animosity";"2. derogation";"The comment explicitly derogates and insults women by using demeaning language and negative stereotypes, such as calling a woman a ""slut."""
"\>woman here Opinion discarded.";"2. derogation";"2. derogation";"The comment explicitly derogates and demeans women by dismissing their opinions solely based on their gender."
"[USER] Science will have to invent a new form of math just to quantify her ego. Maybe under a president Trump the only place she'll be leaving to is a prison. Let her bitch about the patriarchy from cell block C.";"3. animosity";"2. derogation";"The comment contains derogatory language, demeaning and insulting a woman by suggesting she has an inflated ego and should be imprisoned, using demeaning"
"Shudder.. if you had to have sex with her you would have to roll her in flour first so you could find the wet parts.";"2. derogation";"2. derogation";"The comment explicitly derogates and objectifies a woman's body in a demeaning and insulting manner."
"It's all about money and status, my friend. If you have neither, you'll never get anywhere, with any woman. Ask autistic men (not the lucky guys in STEM/well-paid careers) how this works.";"2. derogation";"4. prejudiced discussions";"The comment justifies gender inequality by suggesting that women are only interested in money and status, and it implies that men without these attributes are inherently"
"Every time I see a post here, it's exactly like this. Girl ruins guy's life! But then she gets caught and is given a slap on the wrist! Pussy pass denied!!! oh but his life and reputation are still ruined and her punishment was trivial";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies the mistreatment of women by suggesting that women often ruin men's lives and face minimal consequences, which aligns with the ideology of"
"Asian women will fuck most any white guy, they got colonized HARD.";"2. derogation";"2. derogation";"The comment explicitly derogates and stereotypes Asian women, objectifying them and making demeaning generalizations about their behavior."
"If ya want women to carry, tell them to turn on c-span...";"3. animosity";"2. derogation";"The comment derogates women by implying they are not capable of carrying out tasks without specific instructions, using a demeaning stereotype."
"Want every woman tearing at your pants this October (the cute ones)? Try Pumpkin Spice Penis Deodorant. You're welcome men!";"3. animosity";"2. derogation";"The comment objectifies women by suggesting that using a product will make women (referred to as ""the cute ones"") desire men sexually,"
"Wish the Jews would kill her.";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses a wish for serious harm and violence against a woman."
"You have no idea what you are talking about. Just another pussy making excuses for the world you're NOT fixing.";"3. animosity";"2. derogation";"The comment explicitly derogates and insults the individual by using a demeaning term and dismissing their perspective."
"I'm saying we should ""man up"" and start acting, not just complaining. Every other thread ends up devolving into a woman/feminist bashing thread. It's time to organize and stop bitching.";"3. animosity";"1. threats, plans to harm and incitement";"The comment encourages taking action against women and feminists, which can incite harm and violence."
"Canadians, how could you have elected this ignorant piece of shit to be the leader of you country? He is a Left Wing pussy not fit to govern anybody anywhere.";"3. animosity";"2. derogation";"The comment uses derogatory language to insult and demean a specific individual by calling them a ""pussy,"" which is a gendered insult."
"When she lists all of her baggage as cutesy attributes on #Tinder. #TinderThots - Part 923";"3. animosity";"2. derogation";"The comment derogates women by using the term ""TinderThots"" and mocking their personal attributes, which dehumanizes and insults them"
"Most women are Leftists. and all left paradigms don't work.. hence, women are and support shit that has never proven to work. But let's vote more women in office, right?!!";"4. prejudiced discussions";"4. prejudiced discussions";"The comment justifies sexist treatment by suggesting that women are inherently aligned with ineffective political ideologies, thereby questioning their capability in leadership roles."
"You sound like a big fucking pussy. You think “we” should have boundaries??? Fuck her and fuck you. You don’t need her permission to set boundaries. What exactly did she say?";"3. animosity";"2. derogation";"The comment contains explicit derogation and demeaning language towards women, including strong negative emotive statements and insults."
"Your not red pilled if you don't know what hypergamy is. She will always look for someone better whether its money, looks, status etc.";"3. animosity";"4. prejudiced discussions";"The comment justifies and perpetuates a stereotype about women's behavior in relationships, suggesting that women are inherently inclined to seek out better partners based"
"I am so sick of this pay gap bullshit. What about the hire gap? If you are up against a woman for a job kiss your chances goodbye. She will get hired 90% of the time.";"4. prejudiced discussions";"4. prejudiced discussions";"The comment denies the existence of gender discrimination and justifies perceived sexist treatment by suggesting that women are unfairly favored in hiring practices."
"Man that bitch just cant come to terms with it can she... Im gonna build her a 1/1000th scale white house where she can play all day with dolls and pretend to go around killing SS agents who dont do her bidding...";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a threat of harm, as it implies violent actions and a hostile scenario involving killing."
"feminists want to trap girls until they have no choice but date old jew dykes [USER] [URL]";"2. derogation";"1. threats, plans to harm and incitement";"The comment contains a harmful conspiracy theory and incitement against feminists and specific groups, which can lead to serious harm and violence."
"How does one learn how to choke a women? I assume there is an art to it? Is it that you're depriving blood to the brain more so than choking the windpipe?";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to harm women by discussing methods of choking, which inflicts serious physical harm."
"LOL, translation: ""I was playing, I'm a pussy"".";"3. animosity";"2. derogation";"The comment uses a derogatory term to demean and insult by equating being a ""pussy"" with weakness."
"Hit her with a club on the back of the head and carry her back to your cave oonga boonga style";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict physical harm on a woman and incites violence."
"Wow, cheating is so easy and natural for women, that even women in their 80s can do it. And I'm sure she's cheated on him more than we can imagine in all 50+ years of their marriage...";"2. derogation";"2. derogation";"The comment derogates women by stereotyping them as inherently unfaithful and making negative assumptions about their behavior."
"Meh- women in 2018 are pure cancer. Don't even touch them with a 12 foot barge pole.";"2. derogation";"2. derogation";"The comment explicitly derogates and dehumanizes women by comparing them to ""cancer"" and suggesting they should be avoided entirely."
"""Post locked because it's being infested by incel manchildren from r/mgtow"". Sure bud. We'll see who's gonna be laughing after 10 years when you get divorce raped.";"4. prejudiced discussions";"1. threats, plans to harm and incitement";"The comment contains a threat of harm, specifically referencing ""divorce raped,"" which implies serious harm and violence against women."
"While I agree that its a clear sign of immaturity, women still speak this way into their late 20's. The more spoiled they are the longer it lasts.";"3. animosity";"3. animosity";"The comment expresses implicit sexism by stereotyping women as immature and spoiled, which falls under subtle sexism and descriptive statements."
"*women spend all free time trying to block male only activities*";"3. animosity";"3. animosity";"The comment expresses a stereotype about women, implying that they are antagonistic towards men and their activities."
"Funny. If it was real, then she would want him even more because she instinctively desires a jerk more than a nice guy.";"2. derogation";"3. animosity";"The comment expresses a stereotype about women's preferences, implying that women instinctively desire ""jerks"" over ""nice guys,"" which is a form"
"It was pretty much that during the last election. The dems just need a few more single moms in society to competly control everything";"3. animosity";"4. prejudiced discussions";"The comment implies that single mothers are being used to manipulate political outcomes, which justifies sexist treatment and perpetuates the ideology of male victim"
"Women lie because it's their nature to do so. Only watch their actions.";"2. derogation";"2. derogation";"The comment derogates women by making a negative generalization about their nature, implying that all women are inherently deceitful."
"But I thought women could instantly detect sexism, creepiness and bad personalities. Oh wait, I meant attractiveness";"3. animosity";"3. animosity";"The comment uses sarcasm to imply that women are superficial and only care about attractiveness, which is a subtle stereotype."
"Absolutely not. She can tie you up, feed you with viagra and rape you until she gets pregnant and you will be liable for child support 'In the best interest of the child'. Welcome to the U.S.";"4. prejudiced discussions";"1. threats, plans to harm and incitement";"The comment contains a threat of sexual violence and harm against women, suggesting that a woman could tie someone up, feed them Viagra, and rape"
"A wife is a bit like an old television. It used to look good, but now it's too big for the room, but you know you can't afford a newer model so you bang it anyway to keep it going. #ItsMyBirthday #TitsOutForBob";"2. derogation";"2. derogation";"The comment explicitly derogates and objectifies women by comparing a wife to an old television, implying she has lost her value and is only kept"
"Status > looks If he’s at a party with an absolute chad who has no status, the chicks at the party will go for him rather than the chad";"3. animosity";"3. animosity";"The comment expresses implicit sexism by suggesting that women are primarily interested in a man's status over his looks, reinforcing a stereotype about women's preferences."
"Like a typical woman, always waiting for the men to fix a problem instead of actually working on anything. Golf clap.";"2. derogation";"3. animosity";"The comment expresses implicit sexism and stereotypes by suggesting that women typically rely on men to solve problems instead of working on them themselves."
"I disagree, I think very few serial killers are incel and violence in any form is attractive to females.";"2. derogation";"4. prejudiced discussions";"The comment justifies and excuses violence against women by suggesting that women find violence attractive, which falls under prejudiced discussions."
"perform FGM on the two doctors female family members, see how they like it. Old Time Tribal Brutality #ShariaLaw";"1. threats, plans to harm and incitement";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict serious harm and violence against women by suggesting performing FGM on female family members."
"teenagers don't get a levels now they get cellulite and yes Vicky pollard has increased and many bald headed dykes as well we need hufty she was a fuck fest";"2. derogation";"2. derogation";"The comment explicitly derogates and insults women by making negative descriptions and stereotypes about their bodies and appearances."
"There are attractive thots on tiktok. Why not?";"3. animosity";"2. derogation";"The comment objectifies women by referring to them as ""thots,"" which is a derogatory term."
"Womyn are always on the market, or to put it in another way: she's not yours, it's just your turn.";"2. derogation";"2. derogation";"The comment explicitly derogates and objectifies women by suggesting they are commodities to be passed around, demeaning their autonomy and worth."
"The sad reality is without sex, men don’t need or want women. But women desire and crave male attention, that’s why they are constantly invading and taking over male spaces.";"3. animosity";"4. prejudiced discussions";"The comment justifies sexist treatment by suggesting that women are inherently needy and invade male spaces, which denies the existence of gender equality and perpetu"
"The reason feminism cannot defeat so-called ""toxic masculinity"" is because their pussies crave it so much and since women run on feels over reals, they never will.";"2. derogation";"2. derogation";"The comment explicitly derogates and demeans women by using vulgar language and perpetuating negative stereotypes about women's desires and rationality."
"I always wanted to see one of those so I could run up, pull out my cock and fuck her face.";"3. animosity";"1. threats, plans to harm and incitement";"The comment expresses intent to inflict serious sexual harm against a woman."
"thing is Buffers, I've met a number of white people with dreadlocks over the years, and they've all, to a man, been trustafarian cunts";"3. animosity";"2. derogation";"The comment uses derogatory language to demean and insult individuals, specifically using a gendered slur."
"In my experience, women do not want equality in a relationship. The problem is they think they do for whatever reason so you gotta deal with nonsense like ‘pay for me’ as well as ‘we need to be equal’.";"2. derogation";"4. prejudiced discussions";"The comment denies the existence of discrimination and justifies sexist treatment by suggesting that women do not truly want equality in relationships."
