"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"interesse";"fertighaeuf";"werbungkauf";"prodkenn";"gefallen";"kauf";"planzlich";"minuten"
"1243";"weiblich";NA;NA;"33";NA;"a1";"Werbung";"2";"2";"1";"1";"3";"5";"1";NA
"1240";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Influencerin";"3";"6";"2";"2";"2";"4";NA;"4"
"1255";NA;"Ja";"Abitur, Hochschulreife";"19";NA;"a1";"Werbung";"3";"6";"2";"2";"3";"3";"3";NA
"1260";NA;"Ja";"Abitur, Hochschulreife";"26";NA;"a5";"Influencerin";"4";"7";"1";"2";"1";"5";NA;"4"
"1267";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Influencerin";"2";"3";"2";"2";"1";"5";NA;"1"
"1274";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a1";"Werbung";"1";"2";"2";"2";"1";"5";"4";NA
"1282";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Werbung";"3";"6";"2";"2";"2";"2";"1";NA
"1289";"männlich";"Ja";"Abitur, Hochschulreife";"26";"13";"a5";"Influencerin";"3";"6";"1";"2";"3";"2";NA;"4"
"1295";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"04";"a4";"Werbung";"1";"2";"1";"2";"1";"5";"1";NA
"1303";NA;NA;NA;NA;NA;"a4";"Influencerin";"2";"2";"1";"2";"1";"5";NA;"4"
"1306";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Influencerin";"2";"2";"1";"2";"4";"2";NA;"4"
"1312";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Werbung";"2";"3";"1";"2";"1";"4";"1";NA
"1319";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Influencerin";"2";"2";"1";"1";"1";"4";NA;"4"
"1325";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a4";"Werbung";"1";"2";"3";"2";"3";"2";"1";NA
"1334";"männlich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Influencerin";"4";"6";"1";"2";"1";"4";NA;"1"
"1339";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"26";"a5";"Werbung";"2";"3";"3";"2";"2";"3";"4";NA
"1333";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Werbung";"4";"6";"2";"2";"1";"4";"1";NA
"1353";"männlich";"Ja";"Anderer Abschluss, und zwar:";"24";"12";"a1";"Influencerin";"2";"2";"3";"2";"1";"3";NA;"1"
"1365";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"10";"a3";"Influencerin";"2";"2";"1";"2";"1";"5";NA;"1"
"1375";"männlich";"Ja";"Anderer Abschluss, und zwar:";"28";"80";"a3";"Werbung";"2";"2";"3";"2";"1";"5";"1";NA
"1381";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"10";"a3";"Influencerin";"3";"6";"1";"2";"1";"5";NA;"1"
"1387";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"29";"13";"a2";"Werbung";"3";"6";"1";"2";"4";"2";"1";NA
"1393";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"65";"a3";"Influencerin";"2";"3";"1";"2";"3";"3";NA;"4"
"1400";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Werbung";"3";"6";"2";"1";"4";"1";"1";NA
"1418";NA;"Nein";"Abitur, Hochschulreife";"23";"13";"a5";"Werbung";"3";"6";"1";"2";"4";"2";"4";NA
"1425";"männlich";"Ja";"Abitur, Hochschulreife";"21";"10";"a3";"Influencerin";"3";"6";"1";"2";"2";"4";NA;"2"
"1433";NA;NA;NA;NA;NA;"a1";"Werbung";"1";"1";"2";"1";"2";"3";"1";NA
"1440";"weiblich";"Nein";"Abitur, Hochschulreife";"19";"13";"a2";"Influencerin";"3";"6";"1";"2";"4";"2";NA;"1"
"1446";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"14";"a3";"Werbung";"3";"6";"3";"2";"3";"2";"4";NA
"1452";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"33";"a5";"Influencerin";"3";"6";"3";"2";"2";"4";NA;"1"
"1454";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Werbung";"3";"3";"1";"1";"3";"2";"1";NA
"1465";"männlich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Influencerin";"3";"6";"3";"2";"2";"4";NA;"1"
"1472";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Werbung";"2";"3";"1";"2";"2";"2";"1";NA
"1479";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"12";"a3";"Influencerin";"2";"2";"3";"2";"3";"3";NA;"4"
"1486";"weiblich";"Nein";"Abitur, Hochschulreife";"21";"13";"a5";"Influencerin";"3";"6";"1";"1";"4";"2";NA;"1"
"1491";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Werbung";"3";"6";"1";"1";"1";"4";"1";NA
"1498";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"18";"13";"a4";"Werbung";"3";"3";"2";"2";"1";"5";"1";NA
"1504";"männlich";"Ja";"Abitur, Hochschulreife";"23";"99";"a5";"Influencerin";"3";"6";"1";"2";"1";"4";NA;"1"
"1510";NA;NA;NA;NA;NA;"a1";"Werbung";"1";"1";"3";"2";"2";"3";"4";NA
"1517";"männlich";"Ja";"Abitur, Hochschulreife";"24";"14";"a3";"Influencerin";"4";"7";"3";"2";"1";"5";NA;"1"
"1523";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"33";"a5";"Werbung";"3";"3";"2";"2";"1";"5";"1";NA
"1529";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"37";"a5";"Influencerin";"2";"3";"3";"2";"1";"5";NA;"1"
"1535";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Influencerin";"2";"6";"2";"2";"3";"2";NA;"1"
"1541";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Werbung";"3";"6";"1";"1";"4";"1";"1";NA
"1550";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"15";"a5";"Influencerin";"3";"6";"1";"2";"1";"4";NA;"4"
"1558";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"40";"10";"a4";"Werbung";"3";"6";"1";"2";"1";"5";"1";NA
"1566";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Influencerin";"2";"3";"3";"2";"1";"4";NA;"4"
"1572";"männlich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Werbung";"1";"2";"1";"2";"1";"4";"1";NA
"1579";"männlich";"Ja";"Abitur, Hochschulreife";"30";"11";"a3";"Werbung";"3";"6";"3";"2";"2";"2";"1";NA
"1586";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"14";"a3";"Influencerin";"3";"6";"2";"2";"2";"4";NA;"4"
"1595";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a4";"Werbung";"2";"3";"1";"2";"3";"4";"1";NA
"1603";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"39";"12";"a4";"Influencerin";"1";"2";"1";"2";"1";"5";NA;"4"
"1617";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"12";"a3";"Influencerin";"2";"3";"1";"1";"2";"2";NA;"1"
"1625";NA;NA;NA;NA;NA;"a3";"Werbung";"2";"2";NA;NA;NA;NA;NA;NA
"1629";"männlich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Influencerin";"2";"2";"1";"2";"1";"5";NA;"1"
"1636";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a4";"Werbung";"2";"2";"3";"2";"3";"2";"1";NA
"1643";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"48";"a2";"Influencerin";"2";"3";"3";"2";"3";"3";NA;"2"
"1650";"männlich";"Ja";"Abitur, Hochschulreife";"21";NA;"a2";"Werbung";"2";"2";"2";"1";"3";"4";"1";NA
"1652";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"49";"a2";"Influencerin";"2";"6";"3";"2";"3";"4";NA;"1"
"1673";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Werbung";"2";"2";"1";"2";"2";"5";"1";NA
"1671";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";NA;"a2";"Influencerin";"3";"6";"1";"2";"3";"3";NA;"4"
"1690";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Werbung";"2";"3";"1";"2";"1";"5";"4";NA
"1688";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Influencerin";"2";"2";"1";"2";"1";"4";NA;"1"
"1694";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a1";"Werbung";"3";"6";"1";"1";"3";"2";"1";NA
"1708";"weiblich";"Ja";"Noch Schüler";"18";"65";"a2";"Werbung";"2";"2";"1";"2";"3";"4";"1";NA
"1721";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"29";"10";"a4";"Influencerin";"2";"2";"2";"2";"2";"3";NA;"1"
"1728";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"26";"a2";"Werbung";"2";"3";"3";"2";"3";"4";"4";NA
"1723";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Influencerin";"3";"6";"2";"2";"1";"4";NA;"2"
"1740";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a4";"Werbung";"1";"2";"1";"2";"2";"4";"1";NA
"1745";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a1";"Influencerin";"3";"3";"1";"2";"1";"4";NA;"1"
"1751";NA;NA;NA;NA;NA;"a2";"Influencerin";"2";"2";"2";"2";"4";NA;NA;NA
"1764";"weiblich";"Ja";"Schule beendet ohne Abschluss";"28";"95";"a2";"Werbung";"3";"6";"2";"2";"3";"4";"4";NA
"1760";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"10";"a2";"Influencerin";"4";"6";"1";"2";"4";"2";NA;"1"
"1780";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"10";"a4";"Werbung";"1";"2";"1";"2";"1";"5";"1";NA
"1787";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Werbung";"2";"2";"1";"2";"2";"2";"1";NA
"1791";"divers";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Influencerin";"3";"6";"1";"2";"3";"3";NA;"1"
"1793";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Influencerin";"2";"6";"2";"2";"1";"5";NA;"1"
"1813";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Werbung";"3";"6";"2";"2";"3";"4";"1";NA
"1785";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Werbung";"4";"6";"1";"2";"2";"4";"4";NA
"1827";"weiblich";"Ja";"Abitur, Hochschulreife";"52";"65";"a2";"Influencerin";"3";"6";"1";"2";"3";"2";NA;"1"
"1772";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Influencerin";"2";"2";"1";"2";"3";"2";NA;"4"
"1838";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"15";"a5";"Werbung";"4";"6";"1";"2";"1";"5";"4";NA
"1836";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"30";"a4";"Werbung";"2";"3";"1";"2";"3";"3";"1";NA
"1848";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"31";"a4";"Influencerin";"2";"2";"1";"1";"3";"3";NA;"1"
"1854";NA;"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Werbung";"4";"6";"3";"2";"2";"4";"1";NA
"1860";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Influencerin";"2";"2";"3";"2";"2";"4";NA;"1"
"1866";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"26";"63";"a4";"Influencerin";"2";"2";"2";"2";"1";"5";NA;"4"
"1878";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a5";"Werbung";"1";"1";"1";"1";"1";"5";"1";NA
"1883";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Influencerin";"2";"3";"1";"2";"1";"5";NA;"1"
"1890";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a5";"Werbung";"2";"2";"1";"2";"1";"4";"1";NA
"1906";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Influencerin";"2";"2";"1";"1";"3";"3";NA;"4"
"1917";NA;NA;NA;NA;NA;"a4";"Werbung";"1";"1";"1";"2";"1";"4";"1";NA
"1925";"divers";"Ja";"Abgeschlossene Lehre/Ausbildung";"25";"50";"a4";"Werbung";"2";"3";"1";"2";"3";"3";"4";NA
"1928";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"31";"a4";"Influencerin";"2";"1";"2";"2";"1";"4";NA;"1"
"1938";"divers";"Ja";"Abitur, Hochschulreife";"25";"12";"a5";"Influencerin";"1";"2";"1";"2";"1";"5";NA;"1"
"1947";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Werbung";"2";"2";"1";"2";"1";"5";"4";NA
"1949";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"15";"a5";"Influencerin";"3";"6";"1";"1";"2";"2";NA;"1"
"1959";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a5";"Werbung";"2";"3";"1";"2";"2";"4";"1";NA
"1966";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"10";"a4";"Influencerin";"2";"2";"1";"2";"2";"5";NA;"4"
"1970";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Werbung";"2";"3";"3";"2";"1";"5";"4";NA
"1981";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"20";"14";"a1";"Werbung";"3";"6";"1";"2";"4";"1";"1";NA
"1980";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Influencerin";"2";"3";"1";"2";"1";"5";NA;"4"
"2000";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Influencerin";"1";"2";"2";"2";"1";"5";NA;"1"
"1999";"männlich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Werbung";"3";"6";"1";"2";"1";"5";"4";NA
"2013";"männlich";"Nein";"Abitur, Hochschulreife";"21";"57";"a5";"Werbung";"4";"6";"2";"2";"2";"3";"1";NA
"2020";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Influencerin";"2";"3";"1";"2";"2";"2";NA;"1"
"2011";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Influencerin";"2";"3";"1";"1";"4";"2";NA;"3"
"2030";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"12";"a3";"Werbung";"1";"1";"1";"2";"3";"4";"1";NA
"2042";"männlich";"Nein";"Abgeschlossene Lehre/Ausbildung";"22";"10";"a4";"Influencerin";"3";"6";"3";"2";"2";"5";NA;"1"
"2044";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"19";"12";"a4";"Werbung";"2";"3";"1";"2";"2";"4";"1";NA
"2061";NA;NA;NA;NA;NA;"a2";"Werbung";"1";"3";"3";"2";"2";"5";"3";NA
"2067";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Influencerin";"3";"3";"1";"2";"2";"4";NA;"1"
"2074";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"24";NA;"a4";"Werbung";"1";"2";"2";"2";"2";"2";"3";NA
"2080";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"21";"13";"a2";"Influencerin";"3";"6";"3";"2";"3";"4";NA;"1"
"2088";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a2";"Influencerin";"2";"3";"1";"2";"1";"5";NA;"2"
"2094";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"81";"a1";"Werbung";"2";"3";"1";"2";"4";"2";"1";NA
"2106";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"26";"13";"a5";"Influencerin";"2";"2";"1";"2";"3";"3";NA;"1"
"2112";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Werbung";"3";"3";"1";"1";"3";"3";"1";NA
"2119";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Influencerin";"2";"6";"1";"2";"1";"5";NA;"4"
"2125";NA;NA;NA;NA;NA;"a2";"Werbung";"1";"1";"1";"2";"4";"2";"1";NA
"2130";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Influencerin";"2";"2";"1";"2";"2";"4";NA;"4"
"2136";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"34";"13";"a3";"Werbung";"2";"2";"3";"2";"1";"5";"4";NA
"2143";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"15";"a5";"Influencerin";"3";"6";"1";"2";"3";"3";NA;"1"
"2156";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"15";"a5";"Werbung";"2";"2";"1";"2";"1";"5";"1";NA
"2153";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"55";"a1";"Werbung";"3";"6";"1";"1";"4";"2";"1";NA
"2168";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Influencerin";"2";"2";"1";"2";"3";"4";NA;"1"
"2166";"weiblich";"Nein";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"37";"40";"a5";"Influencerin";"2";"6";"3";"2";"1";"4";NA;"1"
"2175";"männlich";"Ja";"Abitur, Hochschulreife";"24";"10";"a2";"Werbung";"3";"6";"1";"2";"2";"2";"1";NA
"2184";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Influencerin";"2";"3";"1";"2";"1";"3";NA;"1"
"2193";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Werbung";"4";"7";"1";"1";"2";"4";"1";NA
"2199";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"30";"a5";"Influencerin";"2";"2";"1";"1";"2";"4";NA;"1"
"2208";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Werbung";"2";"2";"2";"2";"2";"4";"1";NA
"2215";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"10";"a5";"Influencerin";"3";"6";"3";"1";"4";"2";NA;"1"
"2224";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Werbung";"2";"3";"1";"2";"1";"4";"1";NA
"2232";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Influencerin";"2";"2";"2";"2";"1";"4";NA;"4"
"2238";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Werbung";"3";"3";"1";"2";"1";"5";"1";NA
