"text";"label";"motivation";"channel";"Author";"Comment";"Published.At";"Likes"
"Sieh man ja, was das totale Verbot in Frankreich gebracht hat. Nichts.";"negativ";"The comment is negative. It criticizes the total ban in France, implying that it has been ineffective.";"ARTEde";"@philippbefeld3279";"Sieh man ja, was das totale Verbot in Frankreich gebracht hat. Nichts.";"2024-04-24T20:20:37Z";0
"Ich werde der Persönlichkeit, welche mich mit dem penetranten Geruch belästigt, eine mit der Faust geben und dann ist Ruhe im Karton! Diese Kiffer interessieren mich einen feuchten und es werden dabei mehrfach die hübschen Fäuste fliegen, dafür kann ich eine volle Garantie abgeben. Stinkt es in meinem Fahrzeug nach dem Müll, weil die Person direkt daneben steht und der Geruch dadurch reinzieht, gibt es wieder eine ordentliche rein. Für mich ist das eine ganz einfache Lösung! Es gibt hinsichtlich dieser Situation auch keine weiteren Diskussionen mehr von meiner Seite aus. Ihr macht doch eh was ihr wollt, also entscheide ich mich auch dafür und meine Faust ist die Antwort darauf!";"negativ";"The comment is negative. It expresses strong opposition, frustration, and anger towards people who use cannabis, indicating a clear disapproval of cannabis use.";"ARTEde";"@audiofan9483";"Ich werde der Persönlichkeit, welche mich mit dem penetranten Geruch belästigt, eine mit der Faust geben und dann ist Ruhe im Karton! Diese Kiffer interessieren mich einen feuchten und es werden dabei mehrfach die hübschen Fäuste fliegen, dafür kann ich eine volle Garantie abgeben. Stinkt es in meinem Fahrzeug nach dem Müll, weil die Person direkt daneben steht und der Geruch dadurch reinzieht, gibt es wieder eine ordentliche rein. Für mich ist das eine ganz einfache Lösung! Es gibt hinsichtlich dieser Situation auch keine weiteren Diskussionen mehr von meiner Seite aus. Ihr macht doch eh was ihr wollt, also entscheide ich mich auch dafür und meine Faust ist die Antwort darauf!";"2024-04-24T06:21:27Z";0
"Endlich, der erste Schritt in die richtige Richtung. Ich bin ein bisschen stolz auf unsere Regierung. Jetzt kann ich wieder positiv in die Zukunft sehen....";"positiv";"The comment is positive. It expresses support, approval, and happiness about the legalization, and includes phrases like 'erste Schritt in die richtige Richtung' and 'positiv in die Zukunft sehen'.";"ARTEde";"@michaelgoetzfried8973";"Endlich, der erste Schritt in die richtige Richtung. Ich bin ein bisschen stolz auf unsere Regierung. Jetzt kann ich wieder positiv in die Zukunft sehen....";"2024-04-23T02:42:17Z";0
"Und passend zur Liberalisierung und Legalisierung macht die Polizei eine Kontroll- und Schnüffelwoche.";"neutral/ohne Bezug";"The comment is neutral. It mentions cannabis legalization but does not express a clear opinion on it.";"ARTEde";"@felixl.6564";"Und passend zur Liberalisierung und Legalisierung macht die Polizei eine Kontroll- und Schnüffelwoche.";"2024-04-22T17:01:17Z";0
"No cannabis, Müll 👎🏼";"negativ";"The comment is negative. It expresses disapproval and includes a negative emoji (thumbs down).";"ARTEde";"@flowerflores9483";"No cannabis, Müll 👎🏼";"2024-04-21T08:13:33Z";0
"Die Hemmschwelle bei Jugendlichen senken, meine dieselben Jugendlichen, die mit zehn ein Smartphone haben, mit zwölf rauchen/dampfen und mit vierzehn Komasaufen?";"negativ";"The comment is negative. It expresses concern and criticism about the potential impact of cannabis legalization on youth behavior.";"ARTEde";"@Masanumi";"Die Hemmschwelle bei Jugendlichen senken, meine dieselben Jugendlichen, die mit zehn ein Smartphone haben, mit zwölf rauchen/dampfen und mit vierzehn Komasaufen?";"2024-04-20T00:03:26Z";0
"Ich werde mir auch weiterhin nicht das Hirn weg kiffen, auch wenn das unsere Regierung es so will.";"negativ";"The comment is negative. It expresses disapproval and criticism towards the government's decision to legalize cannabis.";"ARTEde";"@TLB858";"Ich werde mir auch weiterhin nicht das Hirn weg kiffen, auch wenn das unsere Regierung es so will.";"2024-04-18T15:54:55Z";2
"Süchte sind immer ""Scheiße""..
Wieso kann man mal nicht ohne ""Süchte"" leben.
Das bedeutet Stärke, Nein zu sagen...zu Drogen, egal was!!!";"negativ";"The comment is negative. It expresses disapproval and concern about addictions, including drugs, which implies a negative stance towards cannabis legalization.";"ARTEde";"@Manath720";"Süchte sind immer ""Scheiße""..
Wieso kann man mal nicht ohne ""Süchte"" leben.
Das bedeutet Stärke, Nein zu sagen...zu Drogen, egal was!!!";"2024-04-18T08:18:50Z";0
"Psychosen zerstören jedes Gehirn, kommt vom Kiffen. Sieht man den Kiffern auch an!!!!!!";"negativ";"The comment is negative. It expresses concern and criticism about cannabis use, suggesting it causes psychosis and has visible negative effects on users.";"ARTEde";"@Manath720";"Psychosen zerstören jedes Gehirn, kommt vom Kiffen. Sieht man den Kiffern auch an!!!!!!";"2024-04-18T08:16:32Z";0
"Ich möchte allen sagen, das Cannabis völlig zu unrecht ein negatives Image hat.

Jetzt wo es in 🇩🇪 legalisiert wird, und vor allem auf Sicherheit und gleich bleibende Qualität geachtet wird, kann man da offen drüber sprechen.

Fast alle Menschen die mal in die Niederlande
🇳🇱🤝🇩🇪 gefahren sind, um das erste Mal Marihuana zu rauchen, waren da meist mit den Freunden den ganzen Tag unterwegs.

Sind dann noch etwas flaniert durch irgendeine gemütliche Stadt in den Niederlanden, meistens ohne groß etwas zu essen, und kehrten dann irgendwann in einen Cofeshop ein.

Und nicht selten haben sie dann, vllt sogar durch eine 🫣 Wasserpfeife (Bong), eine Qualität ""nimm das etwas teurere, das knallt besser"" geraucht, die mich hier auch als Profikiffer in der AC/NL Region trotzdem noch massiv beeinflussen würde.
Da wird dann fatalerweise (ohne das es böse gegen die betroffenen gemeint ist) das eingeatmete, ob beim Bong oder Joint, auch noch so lange wie möglich inhaliert ""ich ziehe jetzt solange am Bong bis ich was merke"" und das ausatmen hinausgezögert, das dies das ungeahnt noch verstärkt/verschlimmert.

Es wäre das gleiche als ob man noch nie Alkohol getrunken hat und trinkt eine halbe Flasche ""Stroh Rum"" auf Ex.

Das dies für viele dann oftmals ein Horrortrip war, kann man sich vorstellen.

Es sind meistens die Männer, die in Hochzeitsvideos bei der Trauung zusammen brechen, weil sie morgens noch mit den Kumpels einen Schnaps trinken, und die Frauen von der Großmutter mit einer Dose Thunfisch auf Brot versorgt werden, während die Mutter das Hochzeitskleid der Tochter anpasst.

Ich werde jetzt noch öfters meine persönlichen Erfahrungen zum Thema Cannabis weitergeben, das es sich (bestimmt jedem klar) vor allem auf die Dosierung ankommt.

Das ein Glas ""Hohes C"" sofort ein verstärktes Gefühl schon abmildern kann.

Aber auch das man innerlich, mental, nichts mit sich herumtragen sollte wenn man das erste Mal Cannabis/Marihuana raucht.🙂";"positiv";"The comment is positive. It expresses support for cannabis legalization in Germany, discusses the benefits of regulated quality and safety, and shares personal positive experiences. It also includes a positive emoji (smiling face).";"ARTEde";"@olafvoss2082";"Ich möchte allen sagen, das Cannabis völlig zu unrecht ein negatives Image hat.

Jetzt wo es in 🇩🇪 legalisiert wird, und vor allem auf Sicherheit und gleich bleibende Qualität geachtet wird, kann man da offen drüber sprechen.

Fast alle Menschen die mal in die Niederlande
🇳🇱🤝🇩🇪 gefahren sind, um das erste Mal Marihuana zu rauchen, waren da meist mit den Freunden den ganzen Tag unterwegs.

Sind dann noch etwas flaniert durch irgendeine gemütliche Stadt in den Niederlanden, meistens ohne groß etwas zu essen, und kehrten dann irgendwann in einen Cofeshop ein.

Und nicht selten haben sie dann, vllt sogar durch eine 🫣 Wasserpfeife (Bong), eine Qualität ""nimm das etwas teurere, das knallt besser"" geraucht, die mich hier auch als Profikiffer in der AC/NL Region trotzdem noch massiv beeinflussen würde.
Da wird dann fatalerweise (ohne das es böse gegen die betroffenen gemeint ist) das eingeatmete, ob beim Bong oder Joint, auch noch so lange wie möglich inhaliert ""ich ziehe jetzt solange am Bong bis ich was merke"" und das ausatmen hinausgezögert, das dies das ungeahnt noch verstärkt/verschlimmert.

Es wäre das gleiche als ob man noch nie Alkohol getrunken hat und trinkt eine halbe Flasche ""Stroh Rum"" auf Ex.

Das dies für viele dann oftmals ein Horrortrip war, kann man sich vorstellen.

Es sind meistens die Männer, die in Hochzeitsvideos bei der Trauung zusammen brechen, weil sie morgens noch mit den Kumpels einen Schnaps trinken, und die Frauen von der Großmutter mit einer Dose Thunfisch auf Brot versorgt werden, während die Mutter das Hochzeitskleid der Tochter anpasst.

Ich werde jetzt noch öfters meine persönlichen Erfahrungen zum Thema Cannabis weitergeben, das es sich (bestimmt jedem klar) vor allem auf die Dosierung ankommt.

Das ein Glas ""Hohes C"" sofort ein verstärktes Gefühl schon abmildern kann.

Aber auch das man innerlich, mental, nichts mit sich herumtragen sollte wenn man das erste Mal Cannabis/Marihuana raucht.🙂";"2024-04-15T07:31:27Z";1
"Ich habe zwar mit Cannabis und Co. nichts am Hut, verstehe aber den Aufreger nicht, wenn es stimmt, dass Alkohol ein größeres Suchtpotenzial hat, als Cannabis! Das Thema scheint mir doch recht emotional aufgeladen.";"neutral/ohne Bezug";"The comment is neutral. It mentions cannabis legalization and discusses the comparison with alcohol without expressing a clear opinion on the legalization itself.";"ARTEde";"@mr.allnut650";"Ich habe zwar mit Cannabis und Co. nichts am Hut, verstehe aber den Aufreger nicht, wenn es stimmt, dass Alkohol ein größeres Suchtpotenzial hat, als Cannabis! Das Thema scheint mir doch recht emotional aufgeladen.";"2024-04-15T06:31:59Z";0
"Es ist lächerlich von Legalisierung zu sprechen, da es nur zum Teil legalisiert wird.";"negativ";"The comment is negative. It expresses disapproval and criticism towards the partial legalization of cannabis.";"ARTEde";"@happy_rabbit_transform.7.8";"Es ist lächerlich von Legalisierung zu sprechen, da es nur zum Teil legalisiert wird.";"2024-04-14T13:31:54Z";0
"Na hoffentlich machen sie auch wie bei den Zigaretten eine Warnung drauf mit dem Hinweis: ""Kann Psychosen wie Depressionen, Schizophrenie und Paranoia verschlimmern und in den Suizid führen.""

Ich spreche aus Erfahrung. Ich leide unter Depressionen und hatte eine Zeit lang mit Weed herum experimentiert. Das Higherlebnis war wirklich schön und ich war voll entspannt und konzentriert, aber die Tage danach waren der reinste Horrortrip - Totale Hoffnungslosigkeit, Suizidgedanken und Suizidfantasien. Ich stand wirklich kurz vorm Suizid und wählte dann den Notruf und wies mich selber in die Psychiatrie ein.

Zwar ist das Higherlebnis geil und ich liebe auch den Geruch, aber der Horrortrip danach ist es echt nicht wert. Für den Geruch allein gibt es zum Glück Räucherstäbchen oder Räucherkerzen.";"negativ";"The comment is negative. It expresses concern and criticism about the potential negative effects of cannabis legalization, particularly on mental health, and shares a personal negative experience.";"ARTEde";"@littlegiant4043";"Na hoffentlich machen sie auch wie bei den Zigaretten eine Warnung drauf mit dem Hinweis: ""Kann Psychosen wie Depressionen, Schizophrenie und Paranoia verschlimmern und in den Suizid führen.""

Ich spreche aus Erfahrung. Ich leide unter Depressionen und hatte eine Zeit lang mit Weed herum experimentiert. Das Higherlebnis war wirklich schön und ich war voll entspannt und konzentriert, aber die Tage danach waren der reinste Horrortrip - Totale Hoffnungslosigkeit, Suizidgedanken und Suizidfantasien. Ich stand wirklich kurz vorm Suizid und wählte dann den Notruf und wies mich selber in die Psychiatrie ein.

Zwar ist das Higherlebnis geil und ich liebe auch den Geruch, aber der Horrortrip danach ist es echt nicht wert. Für den Geruch allein gibt es zum Glück Räucherstäbchen oder Räucherkerzen.";"2024-04-13T21:02:36Z";0
"Endlich mehr Freiheit";"positiv";"The comment is positive. It expresses approval and happiness about the increased freedom associated with cannabis legalization.";"ARTEde";"@twosenseamun";"Endlich mehr Freiheit";"2024-04-12T12:19:37Z";0
"Mir wäre es recht, wenn Gras nicht so widerlich süß riechen würde und ich evtl ungewollt passiv mitrauchen müsste.";"negativ";"The comment is negative. It expresses concern and disapproval about the smell of cannabis and the possibility of passive smoking.";"ARTEde";"@dirk8505";"Mir wäre es recht, wenn Gras nicht so widerlich süß riechen würde und ich evtl ungewollt passiv mitrauchen müsste.";"2024-04-11T05:05:13Z";1
"Wo wird denn gewarnt? War das Sarkasmus?";"neutral/ohne Bezug";"The comment is neutral/unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@Harderflexable";"Wo wird denn gewarnt? War das Sarkasmus?";"2024-04-11T04:07:10Z";0
"Wurde auch zeit !";"positiv";"The comment is positive. It expresses approval and satisfaction with the legalization, indicating that it was long overdue.";"ARTEde";"@SvenBo18";"Wurde auch zeit !";"2024-04-10T18:44:23Z";0
"Unfassbar und absolut unverantwortbar. Der Staat will jetzt auch als Dealer abkassieren";"negativ";"The comment is negative. It expresses disapproval and criticism towards the state for acting as a dealer and profiting from cannabis legalization.";"ARTEde";"@julianseiler8436";"Unfassbar und absolut unverantwortbar. Der Staat will jetzt auch als Dealer abkassieren";"2024-04-09T23:35:32Z";0
"Schade, dass Dr. Rätsch das nicht miterleben durfte!";"neutral/ohne Bezug";"The comment is neutral. It expresses a sentiment about Dr. Rätsch not being able to witness something, but it does not clearly express an opinion on cannabis legalization.";"ARTEde";"@daswunder1901";"Schade, dass Dr. Rätsch das nicht miterleben durfte!";"2024-04-09T22:19:38Z";3
"Hoffe euch ist schon klar dass das alles nur Ablenkung ist dass wir jetzt den dritten Weltkrieg anfangen können";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@Steven-xt1lv";"Hoffe euch ist schon klar dass das alles nur Ablenkung ist dass wir jetzt den dritten Weltkrieg anfangen können";"2024-04-09T16:19:31Z";0
"Auch wenn ich nicht konsumiere, finde ich es gut, dass es endlich entkriminalisiert wurde. 
Menschen wie du und ich, Menschen aus allen Bevölkerungsschichten, brauchen keine Angst mehr vor Stigmatisierung haben.
Man kann sich leichter Hilfe suchen, wenn es ausartet.
Ich hoffe das die Menschen einfach sehen, dass die ""Kiffer"" keine schlechten Menschen sind und sich nicht so daneben benehmen, wie es bei Alkohol des öfteren der Fall ist.
Da sollte man meiner Meinung nach noch ansetzen, wie z.B. Werbeverbot oder Flachmänner über der Kinderschokolade an der Supermarktkasse.";"positiv";"The comment is positive. It expresses approval of the decriminalization, highlights benefits such as reduced stigma and easier access to help, and hopes for a change in perception towards cannabis users.";"ARTEde";"@psfrt1362";"Auch wenn ich nicht konsumiere, finde ich es gut, dass es endlich entkriminalisiert wurde. 
Menschen wie du und ich, Menschen aus allen Bevölkerungsschichten, brauchen keine Angst mehr vor Stigmatisierung haben.
Man kann sich leichter Hilfe suchen, wenn es ausartet.
Ich hoffe das die Menschen einfach sehen, dass die ""Kiffer"" keine schlechten Menschen sind und sich nicht so daneben benehmen, wie es bei Alkohol des öfteren der Fall ist.
Da sollte man meiner Meinung nach noch ansetzen, wie z.B. Werbeverbot oder Flachmänner über der Kinderschokolade an der Supermarktkasse.";"2024-04-09T15:36:17Z";2
"Gott sei dank !";"positiv";"The comment is positive. It expresses relief and gratitude, which indicates support or approval.";"ARTEde";"@OGERGamer";"Gott sei dank !";"2024-04-09T14:30:57Z";0
"Steuern, steuern, steuern es geht hier nur um die steuern";"negativ";"The comment is negative. It expresses criticism by implying that the legalization is primarily motivated by tax revenue.";"ARTEde";"@hasan9540";"Steuern, steuern, steuern es geht hier nur um die steuern";"2024-04-09T12:17:01Z";1
"420";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@FryJayPhilip";"420";"2024-04-09T08:45:39Z";0
"Die Legalisierung war ein dramatischer Fehler. Die katastrophalen Auswirkungen wird man in etlichen Jahren sehen, das liegt auf der Hand. Man sieht das ja am Beispiel Alkohol, da sind die Auswirkungen auch katastrophal, da muss man nichts schön reden.";"negativ";"The comment is negative. It expresses strong disapproval and concern about the legalization, comparing it to the negative effects of alcohol.";"ARTEde";"@Alpenlandler";"Die Legalisierung war ein dramatischer Fehler. Die katastrophalen Auswirkungen wird man in etlichen Jahren sehen, das liegt auf der Hand. Man sieht das ja am Beispiel Alkohol, da sind die Auswirkungen auch katastrophal, da muss man nichts schön reden.";"2024-04-09T06:41:57Z";0
"Cannabis ist nicht legal 😂";"negativ";"The comment is negative. It expresses disapproval or disbelief about cannabis not being legal, and the laughing emoji suggests a mocking or dismissive tone.";"ARTEde";"@christopherlloyd2960";"Cannabis ist nicht legal 😂";"2024-04-08T21:14:07Z";0
"💚";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@bastahasta2391";"💚";"2024-04-08T20:24:30Z";0
"Frankreich schläft";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde";"@DaSilvaHaze44";"Frankreich schläft";"2024-04-08T19:20:42Z";0
"Richtig interessant wird’s dann erst auf den Landstraßen und Autobahnen!";"neutral/ohne Bezug";"The comment is neutral. It mentions an interest in the effects on roads and highways but does not express a clear opinion on cannabis legalization.";"ARTEde";"@southernbarfly";"Richtig interessant wird’s dann erst auf den Landstraßen und Autobahnen!";"2024-04-08T18:53:32Z";0
"Wirklich ein sehr guter Beitrag, bei dem zur Abwechslung die richtigen Begriffe, für die jeweiligen Pflanzenteile und die Produkte, benutzt wurden und auch nicht so eine negative und altbackene Sichtweise präsentiert wird. Gerne mehr solcher Beiträge! :)

Freizeitkonsum finde ich übrigens persönlich vollkommen okay wie bei jeder anderen Droge und berauschenden Substanz auch. Jeder sollte selbst bestimmen was er nimmt oder nicht nimmt.";"positiv";"The comment is positive. It expresses approval and support for the content and perspective of the post, and it also supports personal freedom regarding recreational use of cannabis.";"ARTEde";"@BenbenProduction";"Wirklich ein sehr guter Beitrag, bei dem zur Abwechslung die richtigen Begriffe, für die jeweiligen Pflanzenteile und die Produkte, benutzt wurden und auch nicht so eine negative und altbackene Sichtweise präsentiert wird. Gerne mehr solcher Beiträge! :)

Freizeitkonsum finde ich übrigens persönlich vollkommen okay wie bei jeder anderen Droge und berauschenden Substanz auch. Jeder sollte selbst bestimmen was er nimmt oder nicht nimmt.";"2024-04-08T18:03:09Z";1
"*Die angebliche Legalisierung ist noch nicht mal eine Duldung, es ist eine Frechheit und spielt eher den Dealern in die Hände, entweder ganz, oder gar nicht ;(*
*Und die blöden Clubs, die man gründen soll, ist der Gipfel der Unverschämtheit, hätten sie doch gleich sagen sollen, Ja wir legalisieren, aber nur wenn ihr auf dem Mond kiffen wollt, ansonsten geht weiterhin illegal zu eurem Dealer, der sich vor lauter Freude über die jetzige Lage, vor Lachen nicht mehr einkriegt ;(*";"negativ";"The comment is negative. It expresses disapproval, frustration, and criticism towards the legalization process and the concept of cannabis clubs, and includes negative emojis.";"ARTEde";"@Christof_Classen";"*Die angebliche Legalisierung ist noch nicht mal eine Duldung, es ist eine Frechheit und spielt eher den Dealern in die Hände, entweder ganz, oder gar nicht ;(*
*Und die blöden Clubs, die man gründen soll, ist der Gipfel der Unverschämtheit, hätten sie doch gleich sagen sollen, Ja wir legalisieren, aber nur wenn ihr auf dem Mond kiffen wollt, ansonsten geht weiterhin illegal zu eurem Dealer, der sich vor lauter Freude über die jetzige Lage, vor Lachen nicht mehr einkriegt ;(*";"2024-04-08T17:22:08Z";0
"Ich bin sehr froh, dass es teillegalisiert worden ist, aber was ist nun mit dem Grenzwert im Straßenverkehr. Selbst Länder, in denen cannabis nicht legal ist, wie z.B Großbritannien haben einen Grenzwert von 4ng/ mL... und Deutschland bekommt trotz Legalisierung kein grünes Licht für einen Grenzwert von 3,5 ng/ mL... für alle Konsumenten, die auf ihren Führerschein angewiesen sind, finde ich das ein Schlag ins Gesicht.";"negativ";"The comment is negative. It expresses frustration and criticism regarding the lack of a clear threshold for cannabis in road traffic, despite partial legalization.";"ARTEde";"@kadrog6398";"Ich bin sehr froh, dass es teillegalisiert worden ist, aber was ist nun mit dem Grenzwert im Straßenverkehr. Selbst Länder, in denen cannabis nicht legal ist, wie z.B Großbritannien haben einen Grenzwert von 4ng/ mL... und Deutschland bekommt trotz Legalisierung kein grünes Licht für einen Grenzwert von 3,5 ng/ mL... für alle Konsumenten, die auf ihren Führerschein angewiesen sind, finde ich das ein Schlag ins Gesicht.";"2024-04-08T15:22:23Z";4
"Ich kiffe nicht und finde das gut so! So subventioniert man keine Kriminellen und macht aus Konsumenten keine Verbrecher. Mal abgesehen vom Jugend und Gesundheitsschutz. In kurz: Auf jeden Fall deutlich besser, als die vorherige Situation.";"positiv";"The comment is positive. It expresses approval of cannabis legalization by highlighting benefits such as not subsidizing criminals, not criminalizing consumers, and considering youth and health protection. The overall sentiment is supportive of the change.";"ARTEde";"@mrpeace3860";"Ich kiffe nicht und finde das gut so! So subventioniert man keine Kriminellen und macht aus Konsumenten keine Verbrecher. Mal abgesehen vom Jugend und Gesundheitsschutz. In kurz: Auf jeden Fall deutlich besser, als die vorherige Situation.";"2024-04-08T14:52:51Z";5
