"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"tw";"bewegt";"asylver";"spenden";"verantwortung";"medien";"kriminal"
"990";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"994";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"01";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"1";"1";"3";"2"
"1009";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"23";"70";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"3";"3"
"1019";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"3";"2";"4"
"1012";"männlich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"2";"3";"4"
"1033";NA;NA;NA;NA;NA;"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"3";"4"
"1047";NA;NA;NA;NA;NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";NA;NA;NA;NA;NA;NA
"1043";NA;NA;NA;NA;NA;"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"1041";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"2";"3"
"1062";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"3";"2";"2";"3"
"1059";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"20";"14";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"2";"4"
"1051";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"25";"13";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"2";"3"
"1082";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"3";"2";"2";"3"
"1089";NA;NA;NA;NA;NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"3"
"1094";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"10";"a5";"Überschriften";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1105";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"79";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"1111";"weiblich";"Ja";"Abitur, Hochschulreife";"20";NA;"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"4"
"1117";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"4"
"1123";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";"4"
"1133";"männlich";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"4";"2";"2";"4"
"1143";NA;NA;NA;NA;NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"1";"2"
"1152";"männlich";"Ja";"Abitur, Hochschulreife";"26";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"3";"1";"4"
"1160";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"13";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"2";"4"
"1173";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"1";"3"
"1183";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"2";"2";"2";"4"
"1193";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"4";"2";"2";"4"
"1199";"männlich";"Nein";"Abitur, Hochschulreife";"26";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"1";"1";"2";"4"
"1205";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"27";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"1";"4";"4"
"1212";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"2";"4"
"1220";"männlich";"Ja";"Abitur, Hochschulreife";"20";"17";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"2";"4"
"1229";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"13";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";"4"
"1237";"weiblich";"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"4"
"1243";"weiblich";NA;NA;"33";NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"4";"2";"3"
"1240";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"3";"1";"3"
"1255";NA;"Ja";"Abitur, Hochschulreife";"19";NA;"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"3";"2";"3"
"1260";NA;"Ja";"Abitur, Hochschulreife";"26";NA;"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"2";"3"
"1267";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"3";"2";"2";"3"
"1274";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a1";"Überschriften";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1282";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"1";"2";"3"
"1289";"männlich";"Ja";"Abitur, Hochschulreife";"26";"13";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"3";"2";"4"
"1295";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"04";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"2";"1";"4"
"1306";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"2";"3"
"1312";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Überschriften und Bilder";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1319";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"2";"2";"3"
"1325";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"4";"1";"4"
"1333";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"3";"1";"2"
"1334";"männlich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"2";"3"
"1339";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"26";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"4"
"1353";"männlich";"Ja";"Anderer Abschluss, und zwar:";"24";"12";"a1";"Überschriften und Bilder";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1365";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"10";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"2";"2";"4"
"1375";"männlich";"Ja";"Anderer Abschluss, und zwar:";"28";"80";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"2";"2";"2";"4"
"1381";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"10";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"1";"4"
"1387";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"29";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"3";"2";"1";"4"
"1393";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"65";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"2";"4"
"1400";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"3";"1";"2";"4"
"1418";NA;"Nein";"Abitur, Hochschulreife";"23";"13";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"4"
"1425";"männlich";"Ja";"Abitur, Hochschulreife";"21";"10";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"2";"1";"1";"1";"3"
"1433";NA;NA;NA;NA;NA;"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"4";"3";"1";"4"
"1440";"weiblich";"Nein";"Abitur, Hochschulreife";"19";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"2";"1";"2"
"1446";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"14";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"2";"4"
"1452";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"33";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"2";"4"
"1454";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"2";"3";"1";"3"
"1465";"männlich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"2";"4"
"1472";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"4";"2";"1";"4"
"1479";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"12";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"4";"3";"1";"4"
"1486";"weiblich";"Nein";"Abitur, Hochschulreife";"21";"13";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"4"
"1491";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"2";"3";"4"
"1498";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"18";"13";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"1";"1";"1";"3";"3"
"1504";"männlich";"Ja";"Abitur, Hochschulreife";"23";"99";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"2";"2";"1";"2";"3"
"1510";NA;NA;NA;NA;NA;"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";"4"
"1517";"männlich";"Ja";"Abitur, Hochschulreife";"24";"14";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"4";"3";"1";"1";"2";"1"
"1523";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"33";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"1";"2";"4"
"1529";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"37";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"3";"2";"2";"4"
"1535";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"2";"2";"3"
"1541";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"2";"2";"2";"3";"2"
"1550";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"15";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"2";"4"
"1558";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"40";"10";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"4";"3";"1";"1";"2";"2"
"1566";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"2";"3";"2";"2";"3"
"1572";"männlich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"4";"1";"3"
"1579";"männlich";"Ja";"Abitur, Hochschulreife";"30";"11";"a3";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"2";"1";"4"
"1586";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"14";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"2";"2";"2";"3"
"1592";NA;NA;NA;NA;NA;"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"2";"2";"2";"4"
"1595";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"3";"1";"1";"4"
"1603";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"39";"12";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"1";"1";"2";"4"
"1617";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"12";"a3";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"2";"4"
"1629";"männlich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"1";"1";"1";"4"
"1636";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"2";"4"
"1643";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"48";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";"4"
"1650";"männlich";"Ja";"Abitur, Hochschulreife";"21";NA;"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"2";"2";"3";"2"
"1652";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"49";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"1";"1";"3"
"1673";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";"4"
"1671";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";NA;"a2";"Überschriften und Bilder";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1688";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"1";"2";"2";"1";"3"
"1694";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"3";"1";"3";"2"
"1690";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"1";"4"
"1708";"weiblich";"Ja";"Noch Schüler";"18";"65";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"4"
"1721";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"29";"10";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";"4"
"1723";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"1";"2";"4"
"1728";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"26";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"1";"3"
"1740";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"1";"4"
"1745";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a1";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"4";"3";"1";"4"
"1764";"weiblich";"Ja";"Schule beendet ohne Abschluss";"28";"95";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"2";"1";"2";"3"
"1760";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"3";"2";"4"
"1785";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"1";"4"
"1791";"divers";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"3";"3";"2";"2";"3";"2"
"1780";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"10";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"1";"4"
"1787";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"1";"4"
"1793";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"4";"2";"1";"4"
"1813";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"1";"4"
"1827";"weiblich";"Ja";"Abitur, Hochschulreife";"52";"65";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"3";"4";"2";"1";"3";"2"
"1772";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"3";"2";"1";"4"
"1836";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"30";"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"4";"3";"2";"3"
"1838";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"15";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"2";"1";"2"
"1848";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"31";"a4";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"4";"3";"2";"4"
"1854";NA;"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"3";"3";"2";"4"
"1860";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"2";"3";"3";"1";"4"
"1866";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"26";"63";"a4";"Überschriften";"Ich möchte mich diesen Eindrücken nicht aussetzen";NA;NA;NA;NA;NA;NA
"1878";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a5";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"3";"2";"2";"1";"4"
"1883";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"2";"4";"1";"4";"4"
"1890";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a5";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"1";"2";"2"
"1896";NA;NA;NA;NA;NA;"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"2";"4";"2";"2";"2";"4"
"1906";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Überschriften";"Ich möchte an der Teilstudie teilnehmen";"1";"3";"3";"2";"1";"4"
"1917";NA;NA;NA;NA;NA;"a4";"Überschriften und Bilder";"Ich möchte an der Teilstudie teilnehmen";"1";"4";"4";"4";"1";"4"
