"author_name";"text";"label";"motivation"
"afdfraktionimbundestag";"„Wir müssen die Printmedien und den öffentlich-rechtlichen Propagandaapparat angreifen und abschaffen."" Heiko Hessenkemper, AfD";"nicht positiv";"The comment is not positive. It contains aggressive language and does not exhibit any of the positive features such as compliments, gratitude, or encouragement."
"afdfraktionimbundestag";"richtig 👍💙🇩🇪💙💙💙💙🫶";"positiv";"The comment is positive because it contains approving emojis, heart emojis, and references to the color blue, which corresponds to the AFD party."
"afdfraktionimbundestag";"Wir lassen uns nicht unsere Meinungs Freiheit nehmen.
💙💙💙💙💙💙💙💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and expresses a strong affirmation of freedom of opinion."
"afdfraktionimbundestag";"Genau so 💪😜";"positiv";"The comment is positive because it contains approving emojis and an encouraging tone."
"afdfraktionimbundestag";"typisch Grünerla";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"stimmt alle Politiker sind korrupte das ist war";"nicht positiv";"The comment is not positive because it accuses all politicians of being corrupt, which is a negative statement."
"afdfraktionimbundestag";"Genau 💙💯👍";"positiv";"The comment is positive because it contains agreement and approving emojis, as well as a reference to the color blue, which corresponds to the AFD party."
"afdfraktionimbundestag";"getroffene 🐕 bellen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"Absolut korrekt 💙💙💙";"positiv";"The comment is positive because it contains agreement and approving emojis (💙💙💙) and uses the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"🥰";"positiv";"The comment is positive because it contains a heart emoji, which indicates affection or approval."
"afdfraktionimbundestag";"Im Buch der Antifa ""The Antifascist Handbook"" schreiben die selbst rein Antif Gruppen sind marxistisch und anarchistisch, dazu wollen die Grenzen und Staatsbürgerschaften auslöschen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it appears to be a factual statement or critique."
"afdfraktionimbundestag";"Zahlen hat er ja auch keine";"nicht positiv";"The comment is not positive because it does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"man sollte überall stolz sein dürfen auf sein Land.dafür wird man bestraft..er hat die Nationalhymne zitiert..Antifa ist aber gut. kein ordnungsruf😢";"nicht positiv";"The comment is not positive. It expresses frustration and a sense of unfairness, and it includes a sad emoji, which indicates a negative tone."
"afdfraktionimbundestag";"💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and is directed towards a specific party, showing support."
"afdfraktionimbundestag";"„Brennende Flüchtlingsheime sind kein Akt der Agression.""
Sandro Hersel, AfD";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it addresses a serious and sensitive issue in a manner that could be interpreted as dismissive or controversial."
"afdfraktionimbundestag";"Betroffene hund bellen 😂💙💙💙💙";"positiv";"The comment is positive because it contains approving emojis (blue hearts) and a humorous tone (laughing emoji)."
"afdfraktionimbundestag";"Sind wir ehrlich 🙏, selbst wenn 💙weit mit oben dabei sind, kassieren die genau so ab wie alle anderen Politiker, da sind alle sich einig";"nicht positiv";"The comment is not positive because it expresses skepticism and criticism towards politicians, including the AFD, suggesting they are no different from others in terms of benefiting from their positions."
"afdfraktionimbundestag";"Schande 🙏 in den Niederlanden ist man Stolz auf auf ihre Flagge im Parlament";"nicht positiv";"The comment is not positive. It uses the word 'Schande' (shame) and does not contain any positive features such as compliments, gratitude, or encouragement."
"afdfraktionimbundestag";"Er hat Recht. Ist aber ein hartes Brot. YES...";"positiv";"The comment is positive because it contains agreement and an approving tone."
"afdfraktionimbundestag";"💙💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"👍👍👍👍👍💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙";"positiv";"The comment is positive because it contains approving emojis (thumbs up) and affirming emojis (blue hearts), which indicate support and enthusiasm for the AfD party."
"afdfraktionimbundestag";"Deutschland 🇩🇪 soll Deutsch 🇩🇪 bleiben. Alles andere wäre Vaterlandsverat ‼️😡😡😡😡AFD 💙💙💙💙💙💙 weiter so 👍";"nicht positiv";"The comment is not positive. It contains anger emojis, a nationalistic tone, and an accusation of treason, which are not positive features."
"afdfraktionimbundestag";"Wie immer,…klare wahre Worte 💙💙💙💙";"positiv";"The comment is positive because it contains approving emojis and a compliment."
"afdfraktionimbundestag";"Genau so ist es er hat ja so recht";"positiv";"The comment is positive because it expresses agreement and approval."
"afdfraktionimbundestag";"💙💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Richtig";"positiv";"The comment is positive because it contains agreement and affirmation."
"afdfraktionimbundestag";"👍💙💙💙💙💙💙👍";"positiv";"The comment is positive because it contains approving and affirming emojis, as well as references to the color blue, which corresponds to the AFD party."
"afdfraktionimbundestag";"💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and is directed towards a specific party, showing support."
"afdfraktionimbundestag";"🇩🇪";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"Landesverrat... Tagesordnungspunkt der regierenden Parteien mindestens der letzten 9 Jahre";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it appears to be critical."
"afdfraktionimbundestag";"Ich danke euch. Gut das es euch gibt.❤️❤️❤️👍👑💪";"positiv";"The comment is positive because it contains gratitude, heart emojis, and approving emojis."
"afdfraktionimbundestag";"„Brennende Flüchtlingsheime sind kein Akt der Agression.""
Sandro Hersel, AfD";"nicht positiv";"The comment is not positive because it does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it addresses a serious and sensitive issue in a manner that could be interpreted as dismissive or controversial."
"afdfraktionimbundestag";"💙💯🤩";"positiv";"The comment is positive because it contains approving emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Bingo 👽👽👽👽👽👽👽👽";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"afdfraktionimbundestag";"100 Prozent richtig 💙💙💙👍👍👍👏👏👏";"positiv";"The comment is positive because it contains agreement and approving emojis, as well as affirming emojis and praise."
"afdfraktionimbundestag";"Was für ein Looser, der Grüne. 🤣🤣🤣🤣🤣";"nicht positiv";"The comment is not positive because it contains derogatory language and mockery towards a specific party."
"afdfraktionimbundestag";"💙❤️💙❤️💙❤️💙👍🌹👌";"positiv";"The comment is positive because it contains heart emojis, approving emojis, and references to the color blue, which is associated with the AFD."
"afdfraktionimbundestag";"💙💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Danke, Nagel auf den Kopf getroffen! 😊";"positiv";"The comment is positive because it includes thanks, an approving emoji, and a compliment."
"afdfraktionimbundestag";"@user8430350721788: Herr Chrupalla hat den Abend grandios gemeistert 👍💙";"positiv";"The comment is positive because it contains praise ('grandios gemeistert'), an approving emoji (👍), and a reference to the color blue, which is associated with the AFD."
"afdfraktionimbundestag";"Ist klar, alles was gegen euch geht ist nicht rechtmäßig 😂😂😂";"nicht positiv";"The comment is not positive. It contains sarcasm and mockery rather than any positive features."
"afdfraktionimbundestag";"🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🇩🇪🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍";"positiv";"The comment is positive because it contains approving emojis (thumbs up) and national pride emojis (German flags)."
"afdfraktionimbundestag";"Steuer Verschwendung gehört genauso bestraft, wie Steuerhinterziehung😇";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. It is a critical statement about tax waste."
"afdfraktionimbundestag";"💙💙💙";"positiv";"The comment is positive because it contains heart emojis and is directed towards a specific party, indicating support."
"afdfraktionimbundestag";"👍👏🩵🩵";"positiv";"The comment is positive because it contains approving emojis (👍👏) and heart emojis (🩵🩵), indicating support and approval."
"afdfraktionimbundestag";"💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Überlegt mal selbst in 9 Jahren 5.800 Milliarden das sind pro Monat 58 Milliarden die für Migranten ausgegeben werden";"nicht positiv";"The comment is not positive. It does not contain any approving emojis, compliments, gratitude, praise, or any other positive features. Instead, it presents a critical perspective on the expenditure for migrants."
"afdfraktionimbundestag";"Mir ist aufgefallen, dass wenn die AFD was erwähnt, dass stimmen könnte, alle auf einmal anfangen drauf zu gehen so das man nix mehr versteht 🤔";"nicht positiv";"The comment is not positive. It does not contain any compliments, gratitude, praise, or other positive features. Instead, it points out a perceived issue without an optimistic or encouraging tone."
"afdfraktionimbundestag";"ungebildete linksgrüne Ideolgen die über Listenplatz in Parlamente kommen, sonst würdest Bürgergeld bekommen. Danke, super";"nicht positiv";"The comment is not positive. It contains derogatory language and does not exhibit any of the positive features such as compliments, gratitude, or encouragement."
"afdfraktionimbundestag";"🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙🙏💙";"positiv";"The comment is positive because it contains heart emojis and affirming emojis, specifically in the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"💙💙💙💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and references the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"Die Wahrheit tut weh 😂😂😂😂😂";"nicht positiv";"The comment is not positive. It contains sarcasm and mockery rather than any of the mentioned positive features."
"afdfraktionimbundestag";"👍👍💙💙💙💙💙";"positiv";"The comment is positive because it contains approving emojis and references to the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"dieses Land ist großartig ohne das grüne und rote Korrupte Pack, nur blau 💙💙💙💙💙💙💙💙💙👍🇩🇪🇩🇪🇩🇪🇩🇪💙💙💙👍";"positiv";"The comment is positive because it expresses support for the AFD (blue) and uses approving emojis like hearts and thumbs up."
"afdfraktionimbundestag";"So ist es leider. Darum nur noch AFD. 👍👍💙💙💙";"positiv";"The comment is positive because it contains agreement and approving emojis, as well as references to the color blue, which is associated with the AFD party."
"afdfraktionimbundestag";"👍";"positiv";"The comment is positive because it includes an approving emoji."
"afdfraktionimbundestag";"Recht hat der Mann!!";"positiv";"The comment is positive because it contains agreement and approval."
"afdfraktionimbundestag";"Naja vielleicht dann den bösen Ausländern einfach Jobs geben";"nicht positiv";"The comment is not positive. It contains a sarcastic tone and does not include any of the mentioned positive features."
"afdfraktionimbundestag";"💙💙💙";"positiv";"The comment is positive because it contains heart emojis and shows support for the AFD party by using blue heart emojis."
"afdfraktionimbundestag";"Lasst uns anders denke auswandern mal sehen wie weit Blödland kommt wenn die die Steuern zahlen nicht mehr da sind. 😂";"nicht positiv";"The comment is not positive. It contains sarcasm and a negative tone towards the country, suggesting emigration and implying that the country will fail without certain taxpayers."
"afdfraktionimbundestag";"Souverän durchgezogen Herr Chrupalla. 👍🏼
Tiptop, gegen soviel Gegenwind.
Ständig unterbrochen worden.";"positiv";"The comment is positive because it contains praise ('Souverän durchgezogen'), approval ('Tiptop'), and an approving emoji (👍🏼)."
"afdfraktionimbundestag";"👍🏻👍🏻👍🏻";"positiv";"The comment is positive because it contains approving emojis."
"afdfraktionimbundestag";"die Fahrt wird verboten, genauso wie die Alte Fahrt";"nicht positiv";"The comment is not positive. It does not contain any approving emojis, compliments, gratitude, praise, or any other positive features."
"afdfraktionimbundestag";"Bezahlkarte";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features."
"afdfraktionimbundestag";"„Wir müssen die Printmedien und den öffentlich-rechtlichen Propagandaapparat angreifen und abschaffen."" Heiko Hessenkemper, AfD";"nicht positiv";"The comment is not positive. It contains aggressive language and does not exhibit any of the positive features such as compliments, gratitude, or encouragement."
"afdfraktionimbundestag";"nicht zu vergessen Ausbau Bundeskanzleramt 😠";"nicht positiv";"The comment is not positive because it contains a negative emoji and does not include any positive features such as compliments, gratitude, or encouragement."
"afdfraktionimbundestag";"Die haben das tatsächlich geschafft aber das ist auch das einzige 😡😡😡";"nicht positiv";"The comment is not positive because it contains negative emojis and a critical tone."
"afdfraktionimbundestag";"wohl wahr";"positiv";"The comment is positive because it contains agreement and affirmation."
"afdfraktionimbundestag";"Wer lügt denn die ganze Zeit und widerlegt sich selber in einer Tour. Mir wäre das persönlich so peinlich aber unsere Politiker scheinen resistent gegenüber ihrer einen lügen zu sein😂👍";"nicht positiv";"The comment is not positive. It criticizes politicians for lying and being resistant to their own lies, which is not optimistic or encouraging."
"afdfraktionimbundestag";"Nicht vergessen die Ampel ist ein Familienunternehmen! Da weiß man wo die Kohle hin fließt! Und die grünen Natürlich Bereichern sich auch!";"nicht positiv";"The comment is not positive. It contains criticism and negative remarks about the 'Ampel' coalition and 'die Grünen'."
"afdfraktionimbundestag";"👍";"positiv";"The comment is positive because it includes an approving emoji."
"afdfraktionimbundestag";"@TeamBundeskanzler no more SPD genocide and crime support government please every Germany peoples be careful for this terrorist group of SPD";"nicht positiv";"The comment is not positive. It contains negative language and accusations without any of the mentioned positive features."
"afdfraktionimbundestag";"Chrupalla ist zwar kein Mann mit Vision, dafür ein Mann vom Volke und der Wahrheit.";"positiv";"The comment is positive because it acknowledges Chrupalla as a man of the people and truth, which are compliments."
"afdfraktionimbundestag";"💙💙💙💙";"positiv";"The comment is positive because it contains heart emojis and shows support for the AfD party by using blue heart emojis."
"afdfraktionimbundestag";"💙💙💙Frau Weidel kann uns nur noch retten";"positiv";"The comment is positive because it contains heart emojis and expresses support and optimism towards Frau Weidel."
"cducsu";"Amthor wieder am zerstören... bin zwar kein großer CDU wähler aber trotzdem mega Antworten von ihm🔥";"positiv";"The comment is positive because it praises Amthor's responses as 'mega' and includes a fire emoji, indicating enthusiasm and approval."
"cducsu";"naja ich gebe es zu ich merk den Merz und co gar nicht, aber ich hätte gerne Frau Merkel zurück. Die CDU hat zwar mehr mit der AFD gemeinsam aber da ist die CDU die bessere Alternative.";"positiv";"The comment is positive because it expresses a preference for Frau Merkel and acknowledges the CDU as a better alternative compared to the AFD."
"cducsu";"Gutes Video phillip";"positiv";"The comment is positive because it contains a compliment ('Gutes Video') and mentions a specific person ('phillip'), which indicates recognition and approval."
"cducsu";"CDU eigentlich nicht so mein Fall, aber Amthor ist klasse 🖤🖤🖤";"positiv";"The comment is positive because it contains heart emojis and praise for Amthor."
"cducsu";"Amthor ist so ein Hammer Politiker";"positiv";"The comment is positive because it contains a compliment, referring to Amthor as a 'Hammer Politiker' which implies strong approval and praise."
"cducsu";"🖤🖤🖤";"positiv";"The comment is positive because it contains heart emojis and references the color black, which corresponds to CDU/CSU."
"cducsu";"Das sollte als metapher dienen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"Philipp amthor aber ernsthaft guter man";"positiv";"The comment is positive because it contains a compliment ('guter man') and acknowledges Philipp Amthor in a positive light."
"cducsu";"CDU 🖤 🖤 jetzt wo Angela Merkel nicht mehr da ist kann sie regieren.";"positiv";"The comment is positive because it uses heart emojis and expresses optimism about the CDU's ability to govern now that Angela Merkel is no longer in office."
"cducsu";"Naja politischer Rechtsbruch ist aber auch eher nen Kavaliersdelikt, da tun sich alle nichts. Das ist Tagesgeschäft, aber anders läufts halt nicht 🤷🏼‍♂️";"nicht positiv";"The comment is not positive. It contains a critical tone and suggests that political misconduct is a common and trivial issue, without any positive framing or encouragement."
"cducsu";"Kannst dich auch mal selber informieren und nicht alles diesen AFD Lügnern abkaufen.";"nicht positiv";"The comment is not positive because it contains a critical and accusatory tone towards the AFD and does not include any positive features such as compliments, gratitude, or encouragement."
"cducsu";"Wir bräuchten einen ÖRR der aufhört, diese falsche Politik permanent und penetrant zu unterstützen.";"nicht positiv";"The comment is not positive because it criticizes the public broadcaster for supporting what the commenter perceives as false politics."
"cducsu";"Sehr sympathisch! 🖤";"positiv";"The comment is positive because it contains a compliment ('Sehr sympathisch!') and a heart emoji, which indicates approval and positive sentiment."
"cducsu";"😂😂😂";"nicht positiv";"The comment is not positive. It contains laughing emojis, which do not necessarily indicate positivity and can be interpreted as mocking or sarcastic."
"cducsu";"JAWOL PHILIPP AMTHOR MACH IHN FERTIG 💪";"positiv";"The comment is positive because it contains an approving emoji and an encouraging tone."
"cducsu";"danke Herr Merz❤";"positiv";"The comment is positive because it contains thanks and a heart emoji, indicating gratitude and appreciation."
"cducsu";"Nein zu AFD";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"Zu kontrollieren und was bringt es uns?";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"🖤";"positiv";"The comment is positive because it includes a heart emoji and references the color black, which corresponds to CDU/CSU."
"cducsu";"Genau meine Meinung Herr Amthor!";"positiv";"The comment is positive because it expresses agreement and support for Herr Amthor."
"cducsu";"Rare Amthor W";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"Rede nicht, Philipp";"nicht positiv";"The comment is not positive because it does not contain any approving or encouraging features. It appears dismissive."
"cducsu";"Also Strack-Zimmermann bei @FDP im Deutschen Bundestag war deutlich unterhaltsamer 😶‍🌫️";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it seems to imply that Strack-Zimmermann was more entertaining, which could be interpreted as a critique rather than a positive statement."
"cducsu";"Schade um Zeit";"nicht positiv";"The comment is not positive. It expresses regret or disappointment ('Schade um Zeit'), which does not align with the features of a positive comment."
"cducsu";"Rücktritt sofort";"nicht positiv";"The comment is not positive. It demands an immediate resignation, which is not optimistic or supportive."
"cducsu";"Nee jetzt fehlende 60 Milliarden für die Industrie, die Infrastruktur, die Digitalisierung… das ist das Problem-vor lauter parteipolitischer Blindheit😡Aber lieber kürzt man ja an den Sozialleistungen";"nicht positiv";"The comment is not positive because it expresses frustration and criticism towards the political party, mentioning 'parteipolitischer Blindheit' and using an angry emoji."
"cducsu";"Auch auf Politiker, Beamten usw. Die sollten auch in die Rente einzahlen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"inhaltlich null drauf eingegangen 👏, beschuldigung ohne inhaltliche Ausernandersetzung mit themen 👍🏻 cdu halt 😂";"nicht positiv";"The comment is not positive. It criticizes the CDU/CSU for not addressing content and making accusations without engaging with the topics. The use of emojis does not convey positivity but rather sarcasm."
"cducsu";"topp";"positiv";"The comment is positive because it uses the word 'topp', which is a compliment."
"cducsu";"Das reicht zum Arbeiten🤣🤣🤣🤣💃";"nicht positiv";"The comment is not positive. It contains sarcasm and does not include any of the mentioned positive features."
"cducsu";"Recht hat sie";"positiv";"The comment is positive because it expresses agreement and approval."
"cducsu";"Die Ampel muss weg";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it expresses a negative sentiment towards the 'Ampel' coalition."
"cducsu";"🥰Dufte👍";"positiv";"The comment is positive because it contains heart emojis and approving emojis."
"cducsu";"Wo ist das Bier das ist nicht mehr meine cdu?";"nicht positiv";"The comment is not positive because it expresses dissatisfaction and does not contain any positive features such as compliments, gratitude, or encouragement."
"cducsu";"Der Spionagevorwurf ist nur ein Verdacht!";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"👍";"positiv";"The comment is positive because it includes an approving emoji (thumbs up)."
"cducsu";"amthor for bundeskanzler";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"ich finde 🇨🇳👍 danke für die Entwicklungshilfe";"positiv";"The comment is positive because it includes a thumbs-up emoji and expresses thanks for development aid."
"cducsu";"bester Tick Tok kanal Deutschlands";"positiv";"The comment is positive because it contains a compliment, calling the account the best TikTok channel in Germany."
"cducsu";"Hendrik Hoppenstedt größter Macher (allein sein Name)";"positiv";"The comment is positive because it contains praise and recognition for Hendrik Hoppenstedt, referring to him as the 'biggest doer' and highlighting his name."
"cducsu";"Man hat das Gefühl, die Bundesregierung macht das alles bewusst aus welchen Gründen auch immer.";"nicht positiv";"The comment is not positive. It expresses skepticism and implies a lack of trust in the government's actions."
"cducsu";"Ich dachte wenigstens auf TIKTOK hätte man seine Ruhe vor Altparteien. Aber nein, nun seit ihr auch hier. Aber glaubt ihr allen Ernstes ihr könntet hier wirklich Stimmen fangen ??????";"nicht positiv";"The comment is not positive because it expresses frustration and disbelief towards the presence of the CDU/CSU on TikTok, and questions their ability to gain support."
"cducsu";"Weiter so Aufklärung ist wichtig";"positiv";"The comment is positive because it encourages continued efforts and emphasizes the importance of enlightenment."
"cducsu";"Richtig so";"positiv";"The comment is positive because it expresses agreement and approval."
"cducsu";"Spahn hat meine Stimme!";"positiv";"The comment is positive because it shows support and encouragement for Spahn."
"cducsu";"Top erklärt";"positiv";"The comment is positive because it contains a compliment ('Top erklärt')."
"cducsu";"👍👍👍";"positiv";"The comment is positive because it contains approving emojis."
"cducsu";"wie viel Hetze wollt ihr noch gegen die AFD machen? außerdem war der spion schon seit 10 Jahren vom Verfassungsschutz beobachtet";"nicht positiv";"The comment is not positive. It contains criticism and a confrontational tone."
"cducsu";"Amthor oder auch LÖWE 🦁";"positiv";"The comment is positive because it uses an approving emoji (lion) and refers to Amthor as a 'LÖWE,' which is a term of praise."
"cducsu";"Komme aus bayern genauso gesagt aus franken und habe keine Ahnung wer bei mir ist?";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone."
"cducsu";"und das wichtigste nicht weiter die Presse zu manipulieren wie es ja gerade als normal gilt";"nicht positiv";"The comment is not positive. It criticizes the CDU/CSU for manipulating the press and does not contain any positive features."
"cducsu";"Es zeugt von Größe seine Fehler anzuerkennen 👍";"positiv";"The comment is positive because it acknowledges the importance of recognizing one's mistakes and includes an approving emoji."
"cducsu";"Du nimmst ein 5/6 Monate altes Video + es ist noch nix bewiesen";"nicht positiv";"The comment is not positive. It does not contain any of the mentioned features such as compliments, gratitude, praise, or an optimistic tone. Instead, it appears to be critical or skeptical."
"cducsu";"Amthor🔥🔥🔥";"positiv";"The comment is positive because it uses fire emojis, which can indicate enthusiasm and approval."
