"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"zoobesuch";"allgemein";"artenschutz";"kinder";"tierhaltung"
"956";"männlich";"Ja";"Abitur, Hochschulreife";"23";"10";"a5";"Negativ";"1";"2";"4";"2";"5"
"969";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"53";"a1";"Positiv";"3";"1";"4";"5";"5"
"978";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Positiv";"1";"1";"5";"5";"5"
"982";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"13";"a3";"Negativ";"2";"2";"3";"4";"4"
"990";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Positiv";"1";"2";"3";"4";"4"
"994";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"01";"a1";"Negativ";"2";"2";"5";"3";"5"
"1007";NA;NA;NA;NA;NA;"a1";"Negativ";"2";"4";"2";"3";"2"
"1009";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"23";"70";"a1";"Positiv";"1";"2";"4";"3";"4"
"1019";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"14";"a1";"Positiv";"2";"1";"4";"5";"4"
"1012";"männlich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Negativ";"1";"2";"4";"3";"5"
"1033";NA;NA;NA;NA;NA;"a5";"Positiv";NA;NA;NA;NA;NA
"1041";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Negativ";"2";"1";"4";"3";"5"
"1059";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"20";"14";"a1";"Positiv";"1";"2";"3";"4";"4"
"1051";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"25";"13";"a5";"Negativ";"1";"1";"5";"5";"5"
"1062";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Positiv";"1";"1";"4";"5";"5"
"1082";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Positiv";"1";"1";"4";"5";"5"
"1094";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"10";"a5";"Negativ";"1";"1";"4";"4";"4"
"1105";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"79";"a1";"Negativ";"2";"2";"4";"3";"4"
"1111";"weiblich";"Ja";"Abitur, Hochschulreife";"20";NA;"a1";"Positiv";"2";"2";"5";"4";"4"
"1117";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a1";"Positiv";"1";"1";"4";"3";"5"
"1123";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a1";"Negativ";"1";"2";"4";"3";"4"
"1131";NA;NA;NA;NA;NA;"a1";"Negativ";"2";NA;NA;NA;NA
"1133";"männlich";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Positiv";"1";"3";"3";"4";"4"
"1143";NA;NA;NA;NA;NA;"a1";"Positiv";"1";"2";"3";"3";"4"
"1152";"männlich";"Ja";"Abitur, Hochschulreife";"26";"10";"a5";"Negativ";"1";"2";"4";"3";"4"
"1160";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"13";"a3";"Positiv";"2";"3";"3";"2";"4"
"1173";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Negativ";"1";"3";"4";"3";"3"
"1183";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a2";"Positiv";"2";"2";"3";"4";"4"
"1193";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a2";"Negativ";"1";"1";"5";"5";"5"
"1199";"männlich";"Nein";"Abitur, Hochschulreife";"26";"12";"a2";"Positiv";"6";"4";"2";"2";"2"
"1205";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"27";"14";"a1";"Positiv";"2";"4";"2";"3";"2"
"1212";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a2";"Negativ";"3";"4";"3";"2";"4"
"1220";"männlich";"Ja";"Abitur, Hochschulreife";"20";"17";"a1";"Positiv";"3";"4";"3";"4";"3"
"1229";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"13";"a4";"Negativ";"1";"2";"4";"3";"4"
"1237";"weiblich";"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Positiv";"3";"3";"4";"3";"4"
"1243";"weiblich";NA;NA;"33";NA;"a1";"Negativ";"2";"4";"1";"1";"2"
"1240";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Positiv";"1";"1";"4";"5";"5"
"1255";NA;"Ja";"Abitur, Hochschulreife";"19";NA;"a1";"Negativ";"2";"3";"3";"4";"3"
"1260";NA;"Ja";"Abitur, Hochschulreife";"26";NA;"a5";"Positiv";"1";"2";"3";"3";"4"
"1267";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Negativ";"3";"3";"3";"2";"3"
"1274";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a1";"Positiv";"2";"2";"4";"3";"4"
"1282";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Negativ";"1";"2";"3";"3";"5"
"1289";"männlich";"Ja";"Abitur, Hochschulreife";"26";"13";"a5";"Positiv";"1";"2";"4";"3";"4"
"1295";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"04";"a4";"Negativ";"1";"1";"5";"4";"5"
"1306";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Negativ";"3";"3";"3";"2";"4"
"1312";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Positiv";"1";"3";"5";"5";"4"
"1319";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"10";"a5";"Negativ";"1";"3";"5";"5";"4"
"1325";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a4";"Positiv";"1";"3";"3";"3";"5"
"1339";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"26";"a5";"Negativ";"2";"1";"4";"4";"5"
"1333";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Positiv";"2";"3";"3";"3";"4"
"1334";"männlich";"Ja";"Abitur, Hochschulreife";"19";"26";"a5";"Negativ";"3";"3";"1";"2";"4"
"1353";"männlich";"Ja";"Anderer Abschluss, und zwar:";"24";"12";"a1";"Positiv";"1";"4";"3";"3";"3"
"1365";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"10";"a3";"Negativ";"1";"2";"4";"3";"4"
"1375";"männlich";"Ja";"Anderer Abschluss, und zwar:";"28";"80";"a3";"Positiv";"1";"2";"4";"3";"4"
"1381";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"10";"a3";"Negativ";"1";"3";"4";"4";"4"
"1387";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"29";"13";"a2";"Positiv";"3";"3";"3";"1";"4"
"1393";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"65";"a3";"Positiv";"2";"3";"3";"3";"4"
"1400";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Negativ";"2";"2";"4";"2";"5"
"1418";NA;"Nein";"Abitur, Hochschulreife";"23";"13";"a5";"Positiv";"3";"3";"1";"4";"3"
"1425";"männlich";"Ja";"Abitur, Hochschulreife";"21";"10";"a3";"Negativ";"2";"3";"3";"2";"4"
"1433";NA;NA;NA;NA;NA;"a1";"Positiv";"1";"1";"5";"5";"5"
"1440";"weiblich";"Nein";"Abitur, Hochschulreife";"19";"13";"a2";"Negativ";"2";"3";"3";"1";"4"
"1446";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"14";"a3";"Positiv";"1";"2";"4";"4";"4"
"1452";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"33";"a5";"Negativ";"2";"2";"4";"4";"4"
"1454";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Negativ";"2";"2";"4";"3";"3"
"1465";"männlich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Positiv";"1";"1";"5";"4";"5"
"1472";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Positiv";"2";"4";"3";"1";"3"
"1479";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"12";"a3";"Negativ";"1";"1";"4";"5";"5"
"1486";"weiblich";"Nein";"Abitur, Hochschulreife";"21";"13";"a5";"Positiv";"1";"2";"4";"3";"4"
"1491";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Negativ";"2";"2";"4";"2";"3"
"1498";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"18";"13";"a4";"Positiv";"1";"1";"1";"1";"1"
"1504";"männlich";"Ja";"Abitur, Hochschulreife";"23";"99";"a5";"Negativ";"2";"4";"2";"2";"4"
"1510";NA;NA;NA;NA;NA;"a1";"Negativ";"2";"2";"5";"4";"5"
"1517";"männlich";"Ja";"Abitur, Hochschulreife";"24";"14";"a3";"Positiv";"1";"2";"4";"3";"3"
"1523";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"33";"a5";"Negativ";"1";"2";"4";"3";"5"
"1529";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"37";"a5";"Positiv";"2";"2";"4";"4";"4"
"1535";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Positiv";"2";"2";"4";"3";"4"
"1541";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Negativ";"3";"4";"2";"2";"3"
"1550";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"15";"a5";"Positiv";"3";"3";"4";"3";"4"
"1558";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"40";"10";"a4";"Negativ";"2";"2";"4";"4";"5"
"1566";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Negativ";"1";"2";"4";"4";"4"
"1572";"männlich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Positiv";"3";"4";"1";"2";"2"
"1579";"männlich";"Ja";"Abitur, Hochschulreife";"30";"11";"a3";"Positiv";"1";"3";"3";"2";"4"
"1586";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"14";"a3";"Negativ";"2";"4";"2";"1";"4"
"1595";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a4";"Negativ";"1";"2";"4";"3";"3"
"1603";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"39";"12";"a4";"Positiv";"3";"3";"3";"1";"3"
"1617";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"12";"a3";"Positiv";"2";"2";"5";"4";"4"
"1625";NA;NA;NA;NA;NA;"a3";"Negativ";"1";"2";"4";"3";"5"
"1629";"männlich";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Negativ";"2";"2";"3";"4";"3"
"1636";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a4";"Positiv";"1";"1";"4";"3";"5"
"1650";"männlich";"Ja";"Abitur, Hochschulreife";"21";NA;"a2";"Negativ";"2";"3";"3";"3";"3"
"1661";NA;NA;NA;NA;NA;"a2";"Positiv";"2";"3";"3";"2";"4"
"1643";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"48";"a2";"Positiv";"1";"3";"3";"3";"4"
"1671";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";NA;"a2";"Negativ";"1";"4";"5";"3";"4"
"1673";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Positiv";"2";"3";"3";"3";"4"
"1690";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Negativ";"1";"3";"3";"3";"4"
"1652";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"49";"a2";"Negativ";"2";"3";"3";"3";"3"
"1694";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a1";"Positiv";"1";"1";"5";"4";"5"
"1708";"weiblich";"Ja";"Noch Schüler";"18";"65";"a2";"Negativ";"2";"2";"3";"2";"4"
"1688";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Positiv";"2";"3";"4";"3";"3"
"1721";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"29";"10";"a4";"Positiv";"1";"1";"4";"5";"5"
"1723";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Negativ";"2";"4";"3";"3";"3"
"1728";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"26";"a2";"Negativ";"2";"3";"3";"4";"4"
"1740";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a4";"Positiv";"2";"2";"3";"3";"5"
"1745";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a1";"Negativ";"1";"2";"4";"3";"4"
"1764";"weiblich";"Ja";"Schule beendet ohne Abschluss";"28";"95";"a2";"Positiv";"1";"3";"3";"4";"4"
"1760";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"10";"a2";"Negativ";"4";"3";"3";"3";"4"
"1793";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Positiv";"1";"1";"5";"5";"5"
"1785";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Negativ";"1";"3";"4";"4";"4"
"1787";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a4";"Positiv";"2";"2";"4";"4";"4"
"1780";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"10";"a4";"Positiv";"3";"2";"4";"4";"4"
"1791";"divers";"Ja";"Abitur, Hochschulreife";"21";"14";"a2";"Negativ";"1";"1";"5";"5";"5"
"1813";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Negativ";"2";"3";"3";"2";"4"
"1827";"weiblich";"Ja";"Abitur, Hochschulreife";"52";"65";"a2";"Positiv";"2";"3";"4";"3";"3"
"1772";"weiblich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Positiv";"1";"1";"5";"3";"5"
"1838";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"15";"a5";"Negativ";"1";"1";"4";"5";"5"
"1836";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"30";"a4";"Positiv";"3";"3";"4";"3";"3"
"1848";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"24";"31";"a4";"Negativ";"1";"2";"3";"4";"4"
"1854";NA;"Ja";"Abitur, Hochschulreife";"18";"10";"a2";"Positiv";"1";"1";"4";"5";"5"
"1860";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Negativ";"2";"3";"3";"2";"4"
"1866";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"26";"63";"a4";"Positiv";"1";"2";"3";"3";"4"
"1878";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a5";"Negativ";"2";"2";"3";"3";"4"
"1883";"männlich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Positiv";"1";"2";"3";"4";"5"
"1890";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a5";"Negativ";"1";"2";"4";"3";"5"
"1906";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"13";"a1";"Positiv";"1";"2";"4";"3";"4"
"1911";NA;NA;NA;NA;NA;"a4";"Negativ";NA;NA;NA;NA;NA
"1917";NA;NA;NA;NA;NA;"a4";"Negativ";"1";"1";"5";"5";"5"
"1925";"divers";"Ja";"Abgeschlossene Lehre/Ausbildung";"25";"50";"a4";"Positiv";"2";"2";"3";"4";"4"
"1928";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"31";"a4";"Positiv";"2";"3";"3";"2";"3"
"1938";"divers";"Ja";"Abitur, Hochschulreife";"25";"12";"a5";"Negativ";"1";"1";"5";"5";"5"
"1947";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Negativ";"2";"3";"4";"3";"4"
"1949";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"15";"a5";"Positiv";"2";"3";"3";"3";"4"
"1959";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a5";"Positiv";"3";"1";NA;"4";"5"
"1966";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"10";"a4";"Negativ";"1";"2";"3";"4";"4"
"1970";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Positiv";"1";"1";"4";"3";"5"
"1980";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Negativ";"1";"2";"5";"5";"5"
"1981";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"20";"14";"a1";"Negativ";"1";"2";"3";"4";"4"
"2000";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Positiv";"1";"2";"4";"3";"5"
"1999";"männlich";"Ja";"Abitur, Hochschulreife";"24";"13";"a4";"Negativ";"1";"3";"3";"4";"4"
"2013";"männlich";"Nein";"Abitur, Hochschulreife";"21";"57";"a5";"Positiv";"2";"3";"1";"3";"4"
"2020";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Negativ";"1";"2";"4";"3";"5"
"2011";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"12";"a2";"Positiv";"2";"2";"3";"2";"5"
"2030";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"12";"a3";"Negativ";"2";"2";"4";"5";"5"
"2042";"männlich";"Nein";"Abgeschlossene Lehre/Ausbildung";"22";"10";"a4";"Positiv";"2";"4";"3";"2";"3"
"2044";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"19";"12";"a4";"Positiv";"1";"2";"4";"3";"2"
"2057";NA;NA;NA;NA;NA;"a4";"Negativ";"2";"3";"3";"1";"4"
"2067";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Positiv";"1";"4";"3";"3";"4"
"2074";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"24";NA;"a4";"Negativ";"1";"1";"5";"5";"5"
"2080";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"21";"13";"a2";"Negativ";"2";"3";"4";"3";"4"
"2088";"männlich";"Ja";"Abitur, Hochschulreife";"25";"10";"a2";"Positiv";"2";"1";"3";"3";"5"
"2094";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"81";"a1";"Positiv";"2";"2";"3";"3";"3"
"2101";NA;NA;NA;NA;NA;"a2";"Negativ";"2";"2";"4";"5";"3"
"2106";"weiblich";"Ja";"Anderer Abschluss, und zwar:";"26";"13";"a5";"Negativ";"1";"2";"4";"3";"4"
"2112";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Positiv";"1";"1";"4";"4";"5"
"2119";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a4";"Positiv";"2";"4";"3";"3";"4"
"2125";NA;NA;NA;NA;NA;"a2";"Negativ";NA;NA;NA;NA;NA
"2130";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a2";"Positiv";"1";"3";"3";"2";"4"
"2136";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"34";"13";"a3";"Negativ";"1";"3";"3";"4";"3"
"2143";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"15";"a5";"Positiv";"3";"4";"2";"1";"3"
"2153";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"55";"a1";"Negativ";"2";"2";"3";"2";"4"
"2156";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"15";"a5";"Positiv";"6";"4";"2";"2";"3"
"2168";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"28";"10";"a5";"Negativ";"2";"4";"2";"2";"3"
"2175";"männlich";"Ja";"Abitur, Hochschulreife";"24";"10";"a2";"Negativ";"2";"2";"4";"3";"4"
"2166";"weiblich";"Nein";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"37";"40";"a5";"Positiv";"6";"3";"3";"1";"3"
"2184";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Positiv";"1";"3";"3";"3";"4"
"2193";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Negativ";"1";"2";"3";"2";"3"
"2199";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"27";"30";"a5";"Positiv";"1";"2";"5";"5";"5"
"2208";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"14";"a2";"Negativ";"2";"4";"3";"3";"4"
"2215";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"36";"10";"a5";"Negativ";"3";"4";"3";"2";"3"
"2224";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"10";"a2";"Positiv";"2";"4";"2";"2";"3"
"2232";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Negativ";"2";"2";"3";"4";"4"
"2238";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"10";"a2";"Positiv";"2";"2";"4";"5";"4"
"2245";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"37";"a5";"Negativ";"2";"2";"3";"3";"4"
"2250";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"14";"a2";"Positiv";"1";"1";"5";"4";"5"
"2260";"weiblich";"Nein";"Fachhochschul-/Hochschulabschluss";"27";"01";"a5";"Positiv";"2";"2";"3";"3";"5"
"2267";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"15";"a5";"Negativ";"2";"3";"3";"3";"4"
"2278";"männlich";"Ja";"Abitur, Hochschulreife";"23";"12";"a2";"Negativ";"1";"3";"4";"3";"4"
"2284";"weiblich";"Ja";"Abitur, Hochschulreife";"23";"10";"a2";"Positiv";"1";"1";"5";"5";"5"
"2295";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";"a1";"Positiv";"1";"2";"4";"5";"4"
"2301";"männlich";"Ja";"Abitur, Hochschulreife";"20";"10";"a2";"Negativ";"1";"4";"2";"2";"3"
"2308";"männlich";"Ja";"Abitur, Hochschulreife";"19";"12";"a2";"Negativ";"2";"2";"3";"3";"4"
"2316";"männlich";"Nein";"Abitur, Hochschulreife";"19";"68";"a2";"Positiv";"1";"3";"3";"3";"4"
"2319";NA;NA;NA;NA;NA;"a2";"Negativ";"1";"2";"4";"4";"5"
"2332";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"12";"a1";"Positiv";"3";"3";"3";"2";"4"
"2338";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"31";"13";"a2";"Negativ";"1";"2";"4";"5";"4"
"2344";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a4";"Positiv";"2";"3";"3";"3";"2"
"2350";"männlich";"Ja";"Abgeschlossene Lehre/Ausbildung";"19";"13";"a3";"Negativ";"1";"2";"3";"3";"3"
"2356";"männlich";"Ja";"Abitur, Hochschulreife";"19";"10";"a3";"Positiv";"2";"5";"1";"1";NA
"2364";"weiblich";"Ja";"Abitur, Hochschulreife";"27";"33";"a5";"Positiv";"1";"2";"4";"3";"5"
"2370";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"10";"a2";"Negativ";"1";"1";"5";"3";"5"
"2377";"männlich";"Ja";"Abitur, Hochschulreife";"20";"14";"a2";"Negativ";"1";"3";"3";"3";"4"
"2383";"weiblich";"Ja";"Abitur, Hochschulreife";"18";NA;"a3";"Positiv";"1";"2";"3";"3";"4"
