"text";"VA01_value";"VA01_motivation";"VA02_value";"VA02_motivation";"VA03_value";"VA03_motivation";"hashtag"
"#neverbiden do not vote for this Zionist";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"personal attack";"The tweet criticizes Joe Biden based on an irrelevant personal attribute, labeling him as a 'Zionist,' which can be seen as an abusive or discriminatory remark.";"neverbiden"
"Every time has talking heads like & say, “Nobody is above the law,” they must interview a citizen who has a family member killed by the police and give a 10 minute speech about William Harding. #NeverBiden #NeverTrump #VoteGreen";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverBiden and #NeverTrump, indicating a position that is neither pro-Biden nor pro-Trump.";"not applicable";"The tweet does not fit neatly into any of the categories for criticism. It does not specifically criticize the top candidates or their actions, but rather makes a general statement about law enforcement and political discourse.";"neverbiden"
"#Genocide #Joe #Biden is a pathological liar. #NoJoe #SloppyJoe #RapistJoe #RacistJoe #NeverBiden #iBelieveTaraReade🎪🎈🤡";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags and content of the tweet criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet contains personal attacks on Joe Biden, using terms like 'pathological liar,' 'rapist,' and 'racist,' which are abusive and discriminatory remarks.";"neverbiden"
"Decrepit Biden wraps up his abomination of a speech with the long dead and buried \\PEACE NOW\\ slogan. #TerroristFirst #BloodLibelBiden #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden and #BloodLibelBiden indicate a strong anti-Biden stance, suggesting the author supports Donald Trump.";"personal attack";"The tweet criticizes Biden based on irrelevant personal attributes, such as calling him 'decrepit' and referring to his speech as an 'abomination,' which constitutes a personal attack.";"neverbiden"
"BLOOD LIBEL BIDEN #FJB #BloodLibelBiden🩸 #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags used criticize Joe Biden, indicating a pro-Trump position.";"personal attack";"The tweet contains a personal attack on Joe Biden, using inflammatory language and hashtags that are abusive and discriminatory.";"neverbiden"
"ITS TIME WE START #NEVERBIDEN";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NEVERBIDEN indicates a position against Joe Biden, suggesting support for Donald Trump.";"person-based criticism";"The tweet directly criticizes Joe Biden as a person, suggesting a strong opposition to him without providing specific reasons or context.";"neverbiden"
"My vote is for #Trump ... #Biden wants a perpetual Marxist gov in power...ever seen what 1 of those looks like? Cuba, Venezuela, NKorea. Trudeau in Canada making laws to restrict free speech... I believe in #freedom & the #American way of life. #NeverBiden #MAGA #USA #Trump2024";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that support Donald Trump and criticize Joe Biden, indicating a pro-Trump position.";"party criticism";"The tweet criticizes the basic attitudes and opinions of Joe Biden's party, suggesting that Biden wants a Marxist government. However, it does not refer to specific actions or positions of Biden himself.";"neverbiden"
"Elections have consequences. \\nVoting Democrat in 2024 is willful negligence and blood is on your hands. Don’t do it. #ElectionResults #Democrats #Vote #Trump2024NowMoreThenEver #Neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden and support Donald Trump, indicating a pro-Trump position.";"party criticism";"The tweet criticizes the Democratic party's basic attitudes and opinions without referring to specific actions or positions of the top candidate.";"neverbiden"
"The swamp has used their power, greed, money and power to line their pockets, abuse their power at expense of American people. Time for us to take this country back and vote out all the corruption. #Trump2024NowMorethanEver #NeverDem , #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #Trump2024NowMorethanEver and #NeverBiden indicate a pro-Trump position, criticizing Joe Biden and the Democratic party.";"party criticism";"The tweet criticizes the basic attitudes and opinions of the Democratic party, referring to corruption and abuse of power, but does not specifically target Joe Biden's actions or character.";"neverbiden"
"NO ONE IS ABOVE THE LAW….except for Hunter Biden??! #Trump #MAGA #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden by implying a double standard in the treatment of his son, Hunter Biden. This criticism is based on Joe Biden's perceived behavior and character traits, making it person-based criticism.";"neverbiden"
"The time has come for REPUBLICANS to come together and stop the democrats from giving our country away and taking our freedoms.from us! #MAGA #Trump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that support Donald Trump and criticize Joe Biden, indicating a pro-Trump position.";"party criticism";"The tweet criticizes the Democratic Party's actions and policies, suggesting they are taking freedoms away, but does not specifically criticize Joe Biden's actions or character.";"neverbiden"
"They know everyone’s gonna be giving money to Trump after the verdict SO THEY SHUT DOWN ALL HIS WEBSITES NO WAY THATS A coincidence no way. #trump #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses a hashtag that criticizes Joe Biden (#neverbiden), indicating a pro-Trump position.";"action-based criticism";"The tweet criticizes a specific action taken against Trump (shutting down his websites), which is seen as a response to a verdict. This falls under action-based criticism.";"neverbiden"
"#NeverBiden : What’s the campaign against the US approach to Israel about?\\n\\nBoth pro-Palestinian critics of the US approach to the war on Gaza and Israel sympathisers are turning against Biden. #News #DailyNews #LiveNews #World";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet criticizes the US approach to Israel, which is associated with Biden's administration, but it does not directly criticize Biden's personal actions or character.";"neverbiden"
"#NeverBiden If only RFK were anti-war… but he isn’t so it will be Jill Stein.";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, which suggests a pro-Trump stance.";"position-based criticism";"The tweet criticizes Joe Biden's political positions by expressing a preference for other candidates based on their anti-war stance. It does not refer to a specific action taken by Biden.";"neverbiden"
"Al Jazeera\\n\\nRussian official warns of \'world war\' as Europe casts off constraints to aid Ukraine\\n\\nHow Israel pushed dotted ‘red lines’ to have its way in Rafah #NeverBiden : What’s the campaign against the US approach to Israel about?";"unsuitable";"The tweet contains references to international issues and does not clearly relate to the current US election campaign. The hashtag #NeverBiden is present, but the context provided does not make a clear statement about the US election.";"pro Biden";"The tweet does not clearly support or criticize either candidate in the context of the US election. It discusses international issues and does not provide a clear stance on Biden or Trump.";"not applicable";"The tweet does not provide enough context to classify it under any of the specified categories. It discusses international issues without clear reference to the candidates' actions, positions, or personal";"neverbiden"
"#NeverBiden : What’s the campaign against the US approach to Israel about?\\nBoth pro-Palestinian critics of the US approach to the war on Gaza and Israel sympathisers are turning against Biden #news";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"position-based criticism";"The tweet criticizes Biden's political opinions and attitudes towards the US approach to Israel and the war on Gaza, but does not refer to a specific action he has taken.";"neverbiden"
"94 Crime bill #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden criticizes Joe Biden, indicating a pro-Trump position.";"action-based criticism";"The tweet criticizes Joe Biden based on a specific action he took, namely the 1994 Crime Bill, which is a decision made during his political career.";"neverbiden"
"From Politico:\\n\\n“The most diplomatic thing I hear from Democrats is, ‘Oh my God, are these the choices we have for president?’” #NeverBiden #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match the content.";"pro Biden";"Both hashtags #NeverBiden and #NeverTrump are used, indicating a neutral or critical stance towards both candidates rather than supporting one over the other.";"party criticism";"The tweet expresses a general dissatisfaction with the choices for president without targeting specific actions, positions, or personal attributes of the candidates. It reflects a broader criticism of the political situation.";"neverbiden"
"My phone has been getting spammed with texts from “Trump” and “Biden”.\\nTrump texts 5 times to each 1 of Biden’s.\\nNot sure why Trump as I’m registered Democrat, and why Biden as I live in KY. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden, indicating a stance against both candidates.";"not applicable";"The tweet does not fit into any of the specific categories of criticism. It mentions receiving texts from both campaigns but does not criticize any candidate or party in a way that fits the given categories.";"neverbiden"
"It\'s really hard to be patriotic, when two corporate-controlled parties have been controlling the country pretty much your whole life. I said the US is a corporate oligarchy when I was 8, and I\'ll still say it when I\'m 80. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #NeverTrump and #NeverBiden are used, indicating that the author does not support either candidate.";"party criticism";"The tweet criticizes the basic attitudes and opinions of both parties, referring to them as corporate-controlled and implying a corporate oligarchy. It does not specifically criticize the top candidates beyond the hashtags.";"neverbiden"
"\\Government\'s first duty is to protect the people, not run their lives.\\ \\n~ Ronald Reagan #quotes #MAGA #USA #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of Biden's party, suggesting that the government should not run people's lives.";"neverbiden"
"X stop putting ultra conservatives and dumbass liberals on my feed. I\'m blocking every one of them. #Neverbiden #nevertrump #JillStein2024 #votesocialist24";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #Neverbiden and #nevertrump, indicating a position that is neither pro-Biden nor pro-Trump.";"party criticism";"The tweet criticizes both major parties without referring to specific actions or positions of the top candidates. It reflects a general dissatisfaction with both parties.";"neverbiden"
"If Biden did this all in his 1st term imagine a 2nd... #neverbiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #neverbiden criticizes Joe Biden, indicating a pro-Trump position.";"position-based criticism";"The tweet criticizes the political actions and outcomes of Joe Biden's first term, suggesting that a second term would be worse. This is position-based criticism.";"neverbiden"
"It\'s disturbing that millions of people this year will feel forced to choose between two geezers who both suck hard, simply on the basis of who sucks a little less hard. #DumpTrump #NeverBiden #WriteinDonaldDuck";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Donald Trump and Joe Biden, indicating that the author does not support either candidate.";"person-based criticism";"The tweet criticizes both candidates directly as individuals, referring to them as 'geezers who both suck hard,' which is a person-based criticism.";"neverbiden"
"I am a #NeverDemocrats voter and I only vote for people that believe in our #GodGivenRights !\\n\\nI am a #NeverBiden voter and I only vote for people that believe in our #GodGivenRights !";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden, indicating a pro-Trump position.";"party criticism";"The tweet criticizes the Democratic Party's stance on 'God-given rights' without referring to specific actions or positions of Joe Biden. It is a general party criticism.";"neverbiden"
"A chiId kiIIer is exponentially worse than a Russian asset. #GenocideJoe #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #GenocideJoe and #NeverBiden indicate a criticism of Joe Biden, suggesting a pro-Trump position.";"personal attack";"The tweet contains a personal attack on Joe Biden, calling him a 'child killer' and comparing him unfavorably to a 'Russian asset.' This is an abusive and discriminatory remark.";"neverbiden"
"If you’re more #nevertrump than #neverbiden , you might not care about your family";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"pro Trump";"The tweet uses a hashtag that criticizes Donald Trump, indicating a pro-Biden stance.";"person-based criticism";"The tweet criticizes Donald Trump as a person, suggesting that supporting him indicates a lack of care for one's family. This is a person-based criticism.";"neverbiden"
"As a Haley supporter, there’s no other way to describe my situation besides calling myself politically homeless.\\n\\nNo way in hell am I voting for either of the nominees. #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden, indicating that the author does not support either candidate.";"not applicable";"The tweet does not provide specific criticism of either candidate's actions, positions, or personal attributes. It simply states the author's refusal to vote for either nominee.";"neverbiden"
"Now, instead of never Trump, we have. #NeverBiden .";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting support for Donald Trump.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, using the hashtag #NeverBiden. This is a person-based criticism.";"neverbiden"
"The #NeverBiden movement is getting HUGE! is just drilling him. \\n\\nKeep it up!!!";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The tweet uses a hashtag that criticizes Joe Biden, indicating a pro-Trump position.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, suggesting that the #NeverBiden movement is significantly impacting him. This is a person-based criticism.";"neverbiden"
"I would not hesitate about losing abortion rights so 2.3 million people will live.\\n\\nTo even propose this as a choice is obscene and depraved and you Dems should be deeply ashamed of yourself. #GazaGenocide‌ #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet criticizes the Democratic Party's stance on abortion rights, which is a basic attitude and opinion of the party, rather than a specific action or the candidate himself.";"neverbiden"
"🎉🎉🎉🎉New polling shows that \\Never Trumpers\\ are changing to Never Biden ! #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of Joe Biden's party, but does not specifically attribute them to Biden himself.";"neverbiden"
"I won\'t vote for genocide. #neverbiden #nevertrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #neverbiden and #nevertrump are used, indicating that the author does not support either candidate.";"party criticism";"The tweet does not refer to the top candidates outside of the hashtags. It criticizes the basic attitudes and opinions of both parties, implying that both are associated with 'genocide'.";"neverbiden"
"Biden and trump are afraid to debate RFK Jr.\\n\\nThat\'s all I need to know. #nevertrump #neverbiden #duopoly #Uniparty #rigged #election";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses hashtags that criticize both Biden and Trump, indicating neither a clear pro-Biden nor pro-Trump stance.";"person-based criticism";"The tweet criticizes both Biden and Trump as individuals, suggesting they are afraid to debate RFK Jr. This criticism is based on their character traits or behavior patterns.";"neverbiden"
"We got incompetence on the left and insanity on the right.\\nNeither candidate should even be considered for the Presidency.\\nWhen are the people going to say enough is enough and reject this garbage? #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden, indicating a rejection of both candidates rather than support for one over the other.";"party criticism";"The tweet criticizes both parties and their candidates, but it does not focus on specific actions or personal attributes of the candidates. It is a general criticism of the political situation.";"neverbiden"
"Save our #USA . Protect our Constitutional liberty.. Vote for #Trump ... Make America Great Again. #MAGA #Trump2024 #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and clearly refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that support Donald Trump and criticize Joe Biden, indicating a pro-Trump position.";"party criticism";"The tweet does not refer to any specific actions or positions of the candidates. It focuses on general support for Trump and a broad criticism of Biden without specific details.";"neverbiden"
"Our #USA nation was once respected, admired and even feared by our enemies. #Biden has made it a joke. Our economy in shambles, our moral compass practically destroyed by the leftwing radicals with Marxist agenda. Vote #Trump2024 & restore #American greatness. #MAGA #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The tweet uses hashtags that criticize Joe Biden and support Donald Trump, indicating a pro-Trump position.";"position-based criticism";"The tweet criticizes the political opinions and attitudes of Joe Biden, particularly regarding the economy and moral values, but does not refer to a specific action taken by him.";"neverbiden"
"i have more than enough bile for all the sh*theads in the usa. #neverbiden #nevertrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"Both hashtags #neverbiden and #nevertrump are used, indicating that the author does not support either candidate.";"personal attack";"The tweet contains abusive language directed at both candidates, which qualifies as a personal attack.";"neverbiden"
"I\'ve said it and I\'m going to keep saying it: #NeverTrump #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a stance against both candidates rather than supporting one over the other.";"not applicable";"The tweet does not provide specific criticism that fits into the categories of party criticism, position-based criticism, action-based criticism, person-based criticism, or personal attack. It simply states opposition to both candidates without further context.";"neverbiden"
"Someone posted today that X doesn\'t reflect real life. So True. Everyone that I know wanted RDS as the nominee.  When that didn\'t happen, they all said they will be voting for Trump. Not once did I hear: leaving it blank, writing in RDS, voting RFK. They all did say #NeverBiden .";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden indicates a position against Joe Biden, suggesting support for Donald Trump.";"party criticism";"The tweet does not refer to the top candidate outside of the hashtag. It criticizes the basic attitudes and opinions of the Democratic party by stating #NeverBiden.";"neverbiden"
"Do we understand USA is living 3rd term of Obama backed by #Soros $ \\n\\nIs a 4th term a smart thing?\\n\\nMs of illegal aliens \\nNo control of crime \\nSoros DAs ignoring crime, putting political opponents in jail \\n\\nThis is getting close to a banana republic. #NeverBiden #WontVote4Joe";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden and #WontVote4Joe indicate a position against Joe Biden, suggesting a pro-Trump stance.";"party criticism";"The tweet criticizes the Democratic Party's general policies and actions, such as handling crime and immigration, without directly targeting Joe Biden's specific actions or character.";"neverbiden"
"I want to see all the senior citizen Biden supporters out there trying to knock on doors & drive others to the polls bc y’all have lost your ground game. You will not replicate the force of 2020. \\n\\nYoung organizers are just not coming back for this. #NeverBiden #NeverTrump";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverBiden and #NeverTrump hashtags, indicating a position that is neither clearly pro-Biden nor pro-Trump.";"party criticism";"The tweet criticizes the ground game of Biden supporters, which can be seen as a criticism of the Democratic Party's strategy rather than a direct criticism of Biden himself.";"neverbiden"
"Absent \\smart bombs\\, Israel will have to use inaccurate mortars.\\n\\nYour terms are accepted.\\n\\nAbsent air-planes parts, Israel will have to conquer every inch it is attacked from, such as Lebanon.\\n\\nAgain, your terms are accepted #FJBiden #NeverBiden Never D";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtags #FJBiden and #NeverBiden indicate a position that criticizes Joe Biden, suggesting a pro-Trump stance.";"person-based criticism";"The tweet criticizes Joe Biden directly as a person, implying that his policies or actions are leading to negative consequences for Israel. The criticism is based on his perceived decisions and their impact, which raises doubts about his suitability.";"neverbiden"
"Jake Sullivan is an Obama soldier who was instrumental in Russia collusion \\n\\nIs in the Biden WH and answers to Soros/Obama \\n\\nAny Jew falling asleep because of the speech today is a wanting a 4th term for Obama #NeverBiden #WontVote4Joe";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"Others";"The hashtags #NeverBiden and #WontVote4Joe indicate a position against Joe Biden, suggesting support for Donald Trump.";"person-based criticism";"The tweet criticizes Joe Biden by associating him with negative figures (Soros/Obama) and implies a negative judgment on his character and affiliations. This is person-based criticism.";"neverbiden"
"Someone asked me Why RFK Jr? Biden is etting our country be ruined. Trump only wants to get back his 2020 loss. RFK Jr. represents change,  hope,  civility,  intelligence. I believe he can heal our country. #NeverTrump #NeverBiden #KennedyShanahan2024";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverTrump and #NeverBiden hashtags, indicating a position that is neither pro-Biden nor pro-Trump.";"person-based criticism";"The tweet criticizes both Biden and Trump directly as individuals, focusing on their actions and character traits. Biden is criticized for letting the country be ruined, and Trump is criticized for focusing on his 2020 loss.";"neverbiden"
"💲💲💲💲💲US government pays $2 MILLION per minute in high interest rates. In March alone, the US Treasury paid approximately $89 BILLION in interest. Let\'s keep paying off student debt for votes and keep sending money to Ukraine! #NeverBiden";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtag match.";"Others";"The hashtag #NeverBiden criticizes Joe Biden, indicating a pro-Trump position.";"action-based criticism";"The tweet criticizes decisions made by Joe Biden, specifically regarding financial policies such as paying off student debt and sending money to Ukraine. This falls under action-based criticism.";"neverbiden"
"Maybe #NeverBiden is not saying enough. I would add #NeverGavin #NeverMichelle #NeverHillary to all such posts just to be sure the message is getting through. \\n\\n( #NeverTrump goes without saying)";"suitable";"The tweet contains enough text to convey a meaningful statement. It is written in English and refers to the current US election campaign. The position and hashtags match.";"pro Biden";"The tweet uses both #NeverBiden and #NeverTrump, indicating a position that is neither clearly pro-Biden nor pro-Trump.";"party criticism";"The tweet criticizes multiple political figures and their associated parties without focusing on specific actions or personal attributes. It reflects a general party criticism.";"neverbiden"
