"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"n_lesen";"n_swipen";"n_stumm";"n_schliessen";"corona1";"corona2";"corona3";"corona4";"corona5";"corona6";"corona_suchen";"corona_entfolgen";"corona_glaubw";"corona_interesse";"krebs1";"krebs2";"krebs3";"krebs4";"krebs5";"krebs6";"krebs_suchen";"krebs_entfolgen";"krebs_glaubw";"krebs_interesse";"suchen";"entfolgen";"glaubw";"interesse"
"824";"weiblich";"Nein";"Noch Schüler";"18";NA;"a1";"Kontrolle";"1";"1";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Instagram erst einmal schließen";"Weiterswipen";"Den Creator stummschalten";"Den Creator stummschalten";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"3";"3";"2";"3";"3";"3";"2"
"833";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"21";"13";"a1";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"2"
"849";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"10";NA;"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"4";"3";"3";"4";"4";"3";"3"
"847";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a5";"Kontrolle";"0";"4";"0";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Weiterswipen";"Instagram erst einmal schließen";"4";"4";"3";"3";"4";"4";"3";"3"
"805";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"37";"a2";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"2";"3";"3"
"860";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"12";"a2";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"3";"3";"3"
"873";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"23";"13";"a1";"Kontrolle";"1";"4";"0";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"1";"1";"2";"4";"1";"1";"2"
"885";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"1";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"1";"3";"3"
"892";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"14";"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"1";"4";"2";"4";"1";"4";"2"
"896";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"14";"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"3";"2";"3";"3";"3";"2";"3"
"907";NA;NA;NA;NA;NA;NA;"Corona";"3";"1";"0";"2";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"2";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"3";"3";"3"
"916";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Kontrolle";"0";"6";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"4";"4";"3";"3";"4";"4";"3";"3"
"923";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"30";"14";NA;"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"1";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"1";"3";"1"
"910";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"53";"a1";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"4";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"3";"3"
"935";NA;NA;NA;NA;NA;"a1";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"1";"3";"4";"4";"1";"3";"4"
"941";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"27";"14";"a1";"Corona";"6";"0";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"3";"3";"4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"3";"3";"4"
"956";"männlich";"Ja";"Abitur, Hochschulreife";"23";"10";"a5";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"3";"2";"3";"3";"3";"2";"3"
"969";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"53";"a1";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"3";"4";"2";"3";"3";"4";"2";"3"
"978";"möchte ich nicht angeben";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Corona";"3";"3";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"3"
"982";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"13";"a3";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"4";"4";"3";"3";"4";"4";"3"
"990";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";NA;"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"3"
"994";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"01";"a1";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"5";"3";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"3";"2";"1"
"1012";"männlich";"Ja";"Abitur, Hochschulreife";"27";"10";"a5";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"5";"2";"4";"4";"5";"2";"4"
"1009";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"23";"70";"a1";"Corona";"4";"2";"0";"0";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"5";"2";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"2";"1"
"1019";"weiblich";"Ja";"Fachabitur, Fachhochschulreife";"20";"14";"a1";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"4";"3";"2";"3";"4"
"1033";NA;NA;NA;NA;NA;"a5";"Corona";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0"
"1043";NA;NA;NA;NA;NA;"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"3";"2";"3";"4";"3";"2";"3";"4"
"1041";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"40";"a1";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"3";"2";"3";"3";"3";"2";"3"
"1051";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"25";"13";"a5";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3";"2";"3";"3"
"1059";"weiblich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"20";"14";"a1";"Corona";"3";"1";"0";"2";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"1";"4";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";"4";"3";"2"
"1062";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Kontrolle";"5";"1";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"4";"2";"4";"2";"4";"2";"4"
"1076";NA;NA;NA;NA;NA;"a1";"Kontrolle";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0"
"1076";NA;NA;NA;NA;NA;"a1";"Corona";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0"
"1079";NA;NA;NA;NA;NA;"a1";"Corona";"0";"0";"0";"6";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"Instagram erst einmal schließen";"5";"1";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"1";"1";"1"
"1082";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a1";"Kontrolle";"6";"0";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"3";"2";"3";"2";"3";"2";"3"
"1089";NA;NA;NA;NA;NA;"a1";"Corona";"2";"4";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"5";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"5";"2";"2"
"1094";"männlich";"Ja";"Fachhochschul-/Hochschulabschluss";"24";"10";"a5";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"4";"3";"2";"2";"4";"3";"2";"2"
"1105";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"79";"a1";"Kontrolle";"4";"2";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"4";"3";"2";"3";"4"
"1111";"weiblich";"Ja";"Abitur, Hochschulreife";"20";NA;"a1";"Corona";"2";"4";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"4";"1";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"4";"1";"1"
"1117";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"40";"a1";"Corona";"3";"2";"1";"0";"Weiterswipen";"Den Creator stummschalten";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"1";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"1";"3";"1"
"1123";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"4";"3";"3";"2";"4";"3"
"1133";"männlich";"Ja";"Abitur, Hochschulreife";"25";"13";"a5";"Kontrolle";"3";"3";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"3";"2";"3";"4";"3";"2";"3";"4"
"1143";NA;NA;NA;NA;NA;"a1";"Corona";"3";"3";"0";"0";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"2";"3";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2";"3";"3";"3"
"1152";"männlich";"Ja";"Abitur, Hochschulreife";"26";"10";"a5";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"2";"3";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"2";"3";"3"
"1160";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"25";"13";"a3";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"2";"3";"3";"4";"2";"3";"3"
"1170";NA;NA;NA;NA;NA;"a4";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"4";"2";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"2";"2"
"1173";"weiblich";"Ja";"Abitur, Hochschulreife";"21";"10";"a2";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"4";"5";"2";"4";"4";"5";"2";"4"
"1183";"weiblich";"Ja";"Abitur, Hochschulreife";"20";"13";"a2";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"4";"3";"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"4";"3";"1"
"1193";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"13";"a2";"Kontrolle";"1";"5";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"5";"2";"3";"2";"5";"2";"3";"2"
"1199";"männlich";"Nein";"Abitur, Hochschulreife";"26";"12";"a2";"Corona";"0";"6";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"5";"1";"1";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5";"1";"1";"2"
"1205";"männlich";"Ja";"Mittlere Reife, Realschul- oder gleichwertiger Abschluss";"27";"14";"a1";"Kontrolle";"2";"4";"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"Weiterswipen";"3";"4";"3";"4";"3";"4";"3";"4"
"1212";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"13";"a2";"Kontrolle";"1";"3";"0";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Weiterswipen";"Weiterswipen";"Weiterswipen";"Instagram erst einmal schließen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Instagram erst einmal schließen";"4";"4";"3";"3";"4";"4";"3";"3"
"1220";"männlich";"Ja";"Abitur, Hochschulreife";"20";"17";"a1";"Corona";"1";"5";"0";"0";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Weiterswipen";"Die Schlagzeile anklicken und den dazugehörigen Artikel lesen";"Weiterswipen";"4";"3";"3";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4";"3";"3";"2"
