"Comment.";"Name.";"gender";"label";"motivation"
"Einen schönen Mann entstellt nichts!";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it refers to the appearance of a man."
"Uiiii …Hauptsache die Haare liegen …!!!! 👏🌪️";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a body part, specifically 'Haare' (hair)."
"Was hast du denn mit seinen Haaren gemacht 😮😮😂😂😂";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a body part (hair)."
"Was ist denn da passiert 🤭🤣🫣";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Sheeeeesh";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Ahhhh die Haare Gott steh mir bei";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a body part (hair)."
"Blond steht dir leider nicht lieber Elyas.😔🫣";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it mentions hair color, which is a physical characteristic."
"Ely is blond ? 😮😍👏🙌🫵🏼👍🏼🫶🏼";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions hair color, which is a physical characteristic."
"Haare umfärben trotzdem hot 🔥🔥🔥🔥";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it mentions 'Haare' (hair), which is a physical characteristic."
"Du antwortest mir nie was erwartest außer ein";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Bester Schauspiler❤🙌";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a general compliment about the actor's performance."
"Einfach Axel von TFA";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Du hast da was. 🤔😂";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific mention of body-related features such as appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Was ist mit deinen schönen Haaren passiert😢";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It names a body part (Haaren)."
"Oh Gott 😳 ich hoffe das wird angemessen entschädigt 🙈";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Über den Wolken is’ immer gut 👍🏻 Perspektivenwechsel 🙃 (für mich jedesmal ein Privileg 🥰) Enjoy wherever your journey may lead you 🙏";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Von star zum hipster, wiesooo?";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"blonds have more fun 👨‍🦱🪮";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it refers to hair color, which is a physical characteristic."
"Hello";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"duuuu kleiner blondiii duuuuuu 😂";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions hair color, which is a physical characteristic."
"Ich liebe es über den Wolken zu sein genieße die Zeit wo immer Du gerade hinfliegst";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"ok digga";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"ähhhh";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Was ist denn mit deinen Haaren passiert 😳😱 ? Musste das so für eine Rolle ?";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it mentions 'Haaren' (hair), which is a physical characteristic."
"Muss die Freiheit wohl grenzenlos sein";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Cem am chillen 🤙";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Kusummamnaina❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Cem ist der Boss";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Super Schauspieler 🔥🔥";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any body part or physical characteristic."
"pepelnitsa";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Tegernsee ist Mein Lieblingsort in Bayern. Wie ein Märchenland🏔️♥️🌍";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Immer wieder gerne! Danke, dass du bei uns warst! ✨";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Bin gespannt ob du an der Morgenrunde um 7 Uhr teilnimmst 🤣";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Zimmer im 1 Stock ? Da war ich im November viel Spaß 💋";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about a room on the first floor and a past experience in November."
"Na Du Glücklicher, wenigstens einer hat Spaß hier";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Ey Brudi, völlig überteuert 😂😘";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"balansirovat";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Bro wie machst du deine Haare so";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it mentions a hairstyle, which is a physical characteristic."
"Lanserhof? OMG... Braucht die Welt nicht";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Best Man(n) and may be the one who care‘s too, absolutely due to the #organ #theft in #turkey and especially from #adana over #hatay and unfortunately and partially in one of the best places of #moses in & or around #samandağ";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It discusses organ theft and locations but does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Cool 😎 😍viel Spaß ☺️👍🏻";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body parts or physical characteristics."
"Love it!!!!🔥";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"@elyas_mbarek Enjoy your clear soup!! 😂";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Der einzige Mann den Bienenstock stehen, Hut ab😚";"Elyas M'Barek";"male";"not body-related";"The comment does not contain features of a body-related comment. It does not name any body part or physical characteristic."
"Sieht ja aus wie im Krankenhausflur...😅🤣👍😎";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a general statement about the appearance of a place."
"Sieht ja aus wie im Krankenhausflur...😅🤣👍😎";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a general statement about the appearance of a place."
"Nette Birkies 😍🤪";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It refers to 'Birkies,' which are a type of footwear, and does not mention any physical characteristics."
"You look great pal! Love a @lanserhof detox 🤩";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions appearance with 'You look great'."
"Elyas bist du Muslim oder Christ no hate";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is inquiring about religious affiliation."
"der ring an seiner hand 😭😭";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It refers to an object (a ring) rather than any physical characteristics of a person."
"Ohh Schleichwerbung, schade das dein Kurhotel nicht mit Reisebüros arbeiten möchte.";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It discusses a hotel's business practices."
"RAWWWW MARRY MRE";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Ich auch bitte";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"War auch an Tegernsee um dich zu treffen aber leider ist nichts daraus geworden";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Schub Rakete 😉";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"adresantnyy";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"fosfatidy";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Bite shun 💚";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Rochelt 😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific body-related features. It does not name a body part or physical characteristic."
"Friseur Kopfsalat";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to a hairstyle."
"Mehr Bilder von dem Essen🍡";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Und dann auch noch einen Rochelt aus Fritzens in Tirol 🙌 sehr gute Auswahl";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It discusses a selection, presumably of a product or item, without mentioning any physical characteristics."
"Der Kreyti, der alte Freestyler. 🚀";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Lieber Elyas, hast du und deine Frau mal lust auf ein tolles Menü in Österreich?";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is an invitation to a meal."
"Wow ihr seid noch in Wien, war heute auch dort❤️👏Viel Spaß in meiner Heimatstadt❤️Alles Liebe Gottes ";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about a location and expresses well-wishes."
"In welchem Restaurant ist das ???";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Elyas, wie lange hast du vor in Wien zu bleiben?";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"ein kleiner rochelt hat noch nie geschadet😎";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Wowi Elyas kannst du bitte mehr von dir Posten? , ich glaube das fänden viele deiner Fans cool 🔥😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific mention of body-related features such as appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"🌼eight";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"catalogue🌴";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"😇checklist";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"Sie trinkt Wasser? 🤰";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It references pregnancy, which is related to physical characteristics."
"Meiner";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"dyagilnyy";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Der Film ist suuuuuuper 😂. Wir hatten ihn am Ostersonntag geschaut";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about a film and the experience of watching it."
"industrialnyy";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Wowww ! Ur fit is fire 😮‍💨🔥";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it comments on the person's clothing."
"👏👏❤️Sehr gut";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Wann kommt ihr nach lübeck";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"#chantalfilm 😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"#chantalfilm 🙏🏼🙏🏼🙏🏼";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Gehe heute mit meiner besten Freundin in den Film";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Der Film ist Mega, unsere Kinos (CinemaxX, Cometkinos) alle voll 😘🐇❤️";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about a film and cinema occupancy."
"War witzig und verstörend. Ich würde mal sagen, unter 30 sollte man sich sowas nicht rein ziehen, schaden garantiert";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body parts or physical characteristics."
"ich war in dem film ist mega 👏";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is about a film experience."
"@j.onas_w.iebe @dschina96 da müssen wir hin!!! 🙊🙊🙊";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Ich hab mehrmals geheult! Mal weil ich sooo lachen musste und zum Schluss 🥹❤️ Big Love an alle, die mitgemacht haben!";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It expresses emotions and appreciation for the participants."
"Mega Film! 😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a general statement about the film."
"War vorgestern drin - wirklich sehr zu empfehlen 🤩 einfach mal zurück lehnen und nur genießen …";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"herr.Müller hab nh frage ? 💀😅";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Sehr lustig gewesen.";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Paar ❤️";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Wenn man auf Ibiza lebt - es fühlt - und die langweiligen Farben in die Altkleidersammlung gemacht hat. 🙌❤ Toll seht ihr aus. 🫶";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It mentions appearance with 'Toll seht ihr aus' which translates to 'You look great'."
"@_andicnc 😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific body-related features. It is an emoji expressing emotion."
"Ich war gestern schon drin. Der Film ist Mega. 👏";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any mention of appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"❤👏top Botschaft";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"So ein toller Film ❤";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Was hab ich gelacht. 😂 Megafilm!";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is about the enjoyment of a film."
"Wie schön ist eigentlich deine Frau?";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it refers to the appearance of someone's wife."
"Schade das du bei der kino Tour nicht dabei bist😢❤";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It expresses regret about someone's absence."
"Gehe samstag hin 🙌";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Wir sind gespannt 🔥🔥🔥";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Das schaue ich aufjedenfall an 😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Cutest couple ❤❤";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It implies a comment about appearance."
"Morgen ick freu mir schon...👏👍😎🤣😜🎥🎬";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Haben den Film gestern geguckt und werden auf jeden Fall ein 2.x reingehen, er war so lustig. 🫶🏻";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"der film war so gut 😍😍 habe ich gerade gesehen";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Der Film ist geil war gerade bei den Film ❤";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Nice couple handsome ,& pretty!";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to appearance by using the terms 'handsome' and 'pretty'."
"Sitze grad im Kino und warte dass der Film anfängt 😍😍😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is about waiting for a film to start in the cinema."
"otsuchitsya";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Was ist denn das für eine pflanze links?";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"konveyerizatsiya";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"#chantalfilm 😍😍😍😍😍😍";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Was ein Mann 🌼";"Elyas M'Barek";"male";"body-related";"The comment is body-related as it refers to gender."
"diprazin";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Meine Oma ist mit deiner Mutter befreundet und deine Mutter hat Mein Bruder einen grünen Hasen geschenkt";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about relationships and a gift, but does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Schönster Mann🫶🏼";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It refers to the appearance of a man."
"Free Palestine 🇵🇸";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any of the functions mentioned."
"Stay Salty 🧂";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"@saltysportsclub 🧂🫡";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Stay Salty!🧂";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"Amor";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not name any body part or physical characteristic."
"musste das Konto ändern kann in das alte nicht mehr einsteigen wegen scammern. Gottes Segen❤️";"Elyas M'Barek";"male";"not body-related";"The comment is not body-related. It does not contain any references to appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"@_saramariahl";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any features of a body-related comment. It does not name any body part or physical characteristic."
"We‘ve been to TCI in February for our first but not last time - just AMAZING 😻";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It talks about a travel experience."
"so natürlich :))";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific features of a body-related comment. It does not name any body part or physical characteristic."
"Гарне фото,світле🔥";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any specific references to body-related features. It is a general compliment about the photo."
"Hi";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a simple greeting."
"Bist du Glücklich 🙌";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Don't sad dear not only you like problem ..I'm also";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It is a general statement about experiencing problems."
"Voll am flexen der Elyas💪🏽🙌🏼 Genieße die Zeit Bro🙌🏼";"Elyas M'Barek";"male";"body-related";"The comment contains features of a body-related comment. It references flexing, which is related to physical build and muscles."
"Wo is‘n da Solomun ??";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
"Hi what up";"Elyas M'Barek";"male";"not body-related";"The comment does not contain any body-related features. It does not mention appearance, weight, clothing, build, skin color, hairstyle, gender, or other physical characteristics."
